ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000100401	RANGAP1	22	41641615	41682255	-1	protein_coding	5905	RANGAP1	0.132718719795843	-0.376521602	33	12.65	2.24e-07	rs9607805	8
ENSG00000269104	AL035681.1	22	41685388	41685686	-1	protein_coding	NA	NA	NA	NA	9	7.486	5.89e-07	rs9607805	8
ENSG00000100403	ZC3H7B	22	41697526	41756151	1	protein_coding	23264	ZC3H7B	0.990761551309557	-0.628157842	31	13.71	3.16e-08	rs9607805	8
ENSG00000167074	TEF	22	41763337	41795330	1	protein_coding	7008	TEF	0.421035621263218	0.11482927	12	11.31	3.16e-08	rs9607805	8
ENSG00000183864	TOB2	22	41829496	41843027	-1	protein_coding	10766	TOB2	0.703190337105161	-1.014743355	50	13.97	1.08e-07	rs9607805	8
ENSG00000100410	PHF5A	22	41855721	41864729	-1	protein_coding	84844	PHF5A	0.849500693094142	-0.47422353	28	8.041	2.97e-09	rs9607805	8
ENSG00000100412	ACO2	22	41865129	41924993	1	protein_coding	50	ACO2	0.454377775083461	-0.617411984	53	9.721	5.38e-07	rs9607805	8
ENSG00000100413	POLR3H	22	41921808	41940610	-1	protein_coding	171568	POLR3H	0.00200710591580713	-1.305852274	49	10.51	4.32e-08	rs9607805	8
ENSG00000172346	CSDC2	22	41956767	41973745	1	protein_coding	27254	CSDC2	0.0798035156205298	0.31935561	13	9.224	9.41e-07	rs9607805	8
ENSG00000196419	XRCC6	22	42017123	42060044	1	protein_coding	2547	XRCC6	0.996855852811598	-0.128100971	1	1.71	NA	rs9607805	8
