# ALPHA = 0.05
# NUMBER_OF_TESTS = 15481

# _SET1_  VARIABLE = Curated_gene_sets:abe_vegfa_targets_2hr (set)
# _SET1_  NGENES = 31
# _SET1_  P-VALUE = 1.38923e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET2_   ENSG00000131910     1   27237980   27240457      9       5  516162      -1.2142      0.88765
_SET2_   ENSG00000060656     1   29563028   29653325    312      46  517668      0.15887      0.43689
_SET2_   ENSG00000121764     1   32083287   32098119     45       9  512193       1.1988       0.1153
_SET2_   ENSG00000116478     1   32757687   32799236     78      30  491588     -0.88268      0.81129
_SET2_   ENSG00000187513     1   35258599   35261348     14       5  529415       1.2697       0.1021
_SET2_   ENSG00000020129     1   36023074   36032875     25       9  524016     0.073403      0.47074
_SET2_   ENSG00000126067     1   36067185   36107445     98      25  492206     -0.12701      0.55053
_SET2_   ENSG00000134698     1   36273773   36323491    105      32  509904      0.13518      0.44623
_SET2_   ENSG00000092847     1   36335409   36395211    151      45  501962       1.2946     0.097724
_SET2_   ENSG00000126070     1   36396319   36538101    287      45  504502       1.1657      0.12186
_SET2_   ENSG00000163873     1   37261128   37499730    788     110  510868       2.1942      0.01411
_SET2_   ENSG00000169218     1   38076951   38100595     93      23  523915       1.4057     0.079902
_SET2_   ENSG00000127603     1   39546988   39952849   1234      58  510622      0.33344       0.3694
_SET2_   ENSG00000183682     1   39957318   39991607    102      30  511999      0.99971      0.15873
_SET2_   ENSG00000131238     1   40538379   40563375    113      18  520857      -1.1902      0.88301
_SET2_   ENSG00000117016     1   41086351   41131329    161      32  519401       2.0256     0.021401
_SET2_   ENSG00000117394     1   43391052   43424530    158      28  522679     -0.36595       0.6428
_SET2_   ENSG00000117399     1   43824626   43828874      7       4  521812      0.09823      0.46087
_SET2_   ENSG00000196517     1   44457172   44497139    126      33  521397       1.2352      0.10837
_SET2_   ENSG00000187147     1   44870866   45117396    962     136  517603     -0.25004      0.59872
_SET2_   ENSG00000269113     1   48226200   48462567    880      58  520103      0.37089      0.35536
_SET2_   ENSG00000169213     1   52373628   52456436    260      29  514518       3.0485    0.0011498
_SET2_   ENSG00000157193     1   53711217   53793742    292      51  515990       1.2957     0.097543
_SET2_   ENSG00000162407     1   56960419   57110974    665      71  518251      0.57277       0.2834
_SET2_   ENSG00000162409     1   57110995   57181008    316      26  519637      -0.3335      0.63062
_SET2_   ENSG00000185483     1   64239693   64647181   1431     127  517367      -1.3151      0.90576
_SET2_   ENSG00000116729     1   68564142   68698803    681      89  522591      -1.9349       0.9735
_SET2_   ENSG00000171517     1   85277285   85358896    369      76  518581      -1.2909      0.90163
_SET2_   ENSG00000162631     1  107682629  108026080   1148     121  518602       0.3739      0.35424
_SET2_   ENSG00000116266     1  109289296  109352148    258      16  523505      0.56485      0.28609
_SET2_   ENSG00000143126     1  109792641  109818372    103      26  517577     -0.35655      0.63929
_SET2_   ENSG00000143106     1  109941653  109969062     67      18  517775       1.7688     0.038468
_SET2_   ENSG00000134183     1  110145889  110155679     31      13  525078     -0.45428      0.67519
_SET2_   ENSG00000116396     1  110753965  110825722    305      46  519319       1.3538     0.087899
_SET2_   ENSG00000116473     1  112084840  112259313    714      67  521206      0.20587      0.41845
_SET2_   ENSG00000134245     1  113009163  113072787    218      55  518195      -1.1017       0.8647
_SET2_   ENSG00000155363     1  113215763  113243368     81      21  516940    -0.027378      0.51092
_SET2_   ENSG00000155380     1  113454469  113499635    119      39  506650     -0.19017      0.57541
_SET2_   ENSG00000134207     1  114631913  114696541    332      77  522361     0.071391      0.47154
_SET2_   ENSG00000134200     1  115572415  115576941     30       7  524874       2.4649    0.0068522
_SET2_   ENSG00000134259     1  115828539  115880857    237      55  521550       1.0597      0.14465
_SET2_   ENSG00000173218     1  116184574  116240845    241      51  519918      0.63044       0.2642
_SET2_   ENSG00000118729     1  116242628  116311402    390      30  522518    -0.054568      0.52176
_SET2_   ENSG00000116128     1  147013182  147098017    326      65  518306       1.4151     0.078524
_SET2_   ENSG00000143140     1  147228332  147245484     88      19  522671      -1.0613      0.85572
_SET2_   ENSG00000121634     1  147374946  147381393     37      12  521496    -0.074483      0.52969
_SET2_   ENSG00000159164     1  149874870  149889434     39      15  516786       1.3176     0.093814
_SET2_   ENSG00000143420     1  150573327  150602088     86      25  503398       1.5996     0.054846
_SET2_   ENSG00000159352     1  151227179  151239955     29       9  513106       1.2062      0.11386
_SET2_   ENSG00000159377     1  151372010  151374420      4       2  523594      0.62524      0.26591
_SET2_   ENSG00000163220     1  153330330  153333503      8       5  507769      -1.9005      0.97132
_SET2_   ENSG00000143546     1  153362508  153363664      6       3  505626     -0.48853      0.68741
_SET2_   ENSG00000143553     1  153631130  153634306      8       4  500460      0.63226      0.26361
_SET2_   ENSG00000160714     1  154521053  154531504     27      10  506713     0.068361      0.47275
_SET2_   ENSG00000160716     1  154540257  154552502     37      20  511042      0.83852      0.20087
_SET2_   ENSG00000163348     1  154929502  154936329      9       6  506067      0.35058      0.36295
_SET2_   ENSG00000243364     1  155036207  155042029      9       5  499570       3.9427   4.0288e-05
_SET2_   ENSG00000251246     1  155036224  155059283     49      18  517737       4.0633   2.4191e-05
_SET2_   ENSG00000143590     1  155036224  155060014     51      18  518430       4.0245   2.8549e-05
_SET2_   ENSG00000169242     1  155099936  155107333     24      11  505028      0.46462       0.3211
_SET2_   ENSG00000116539     1  155305059  155532598    427      73  496007      0.63898      0.26142
_SET2_   ENSG00000132718     1  155829300  155854990     56      18  510746       1.0049      0.15747
_SET2_   ENSG00000198400     1  156785432  156851642    246      65  510384       4.0921   2.1375e-05
_SET2_   ENSG00000132704     1  157715523  157746922     95      27  511253      0.10364      0.45873
_SET2_   ENSG00000184155     1  159504793  159505842      2       1  535425       1.2167      0.11186
_SET2_   ENSG00000177807     1  160007257  160040038     95      29  516909     -0.10124      0.54032
_SET2_   ENSG00000018625     1  160085549  160113381    129      34  516729     -0.79234      0.78592
_SET2_   ENSG00000162736     1  160313062  160328742     59      20  523471     -0.54468      0.70701
_SET2_   ENSG00000162738     1  160370376  160398468     85      21  520858     -0.16186      0.56429
_SET2_   ENSG00000158887     1  161274525  161279762     17       8  516443     -0.75092      0.77365
_SET2_   ENSG00000117152     1  163038565  163046592     23      11  511333       1.9525     0.025438
_SET2_   ENSG00000143195     1  166882443  166944719    166      39  518704       0.9487      0.17139
_SET2_   ENSG00000197965     1  167690429  167761156    290      41  515380     -0.63727      0.73802
_SET2_   ENSG00000143158     1  167885967  167906278     48      15  505571     -0.50206      0.69219
_SET2_   ENSG00000143184     1  168545711  168551315     28       9  512797       1.8457     0.032469
_SET2_   ENSG00000034971     1  171604557  171621823     87      17  522595       1.1197      0.13142
_SET2_   ENSG00000117560     1  172628154  172636014     17       9  510021     -0.50262      0.69238
_SET2_   ENSG00000120337     1  173009100  173020103     40      10  512943      0.62276      0.26672
_SET2_   ENSG00000120332     1  175036994  175117202    397      49  519401        2.026      0.02138
_SET2_   ENSG00000116147     1  175284330  175712906   1870     201  516742     -0.61664      0.73126
_SET2_   ENSG00000198216     1  181382238  181777219   1528     139  517261       3.1417   0.00083979
_SET2_   ENSG00000135821     1  182350839  182361341     42      12  519493     0.067881      0.47294
_SET2_   ENSG00000073756     1  186640923  186649559     24      10  526176       2.3695     0.008907
_SET2_   ENSG00000134371     1  193091147  193223031    433      38  514239       1.4817     0.069203
_SET2_   ENSG00000066279     1  197053258  197115824    142      19  513496     -0.13942      0.55544
_SET2_   ENSG00000134376     1  197170592  197447585    692      84  506521      0.84249      0.19976
_SET2_   ENSG00000133067     1  202163029  202288909    471      67  516295      -0.5873       0.7215
_SET2_   ENSG00000143858     1  202559724  202679545    431      79  513419     0.097899      0.46101
_SET2_   ENSG00000117139     1  202696526  202778598    279      28  516828      0.40322      0.34339
_SET2_   ENSG00000117153     1  202860228  202897764    112      18  511707      0.42085      0.33693
_SET2_   ENSG00000143847     1  202995626  203047868    220      42  524453       1.5201     0.064244
_SET2_   ENSG00000163485     1  203059782  203136533    270      45  514263        1.073      0.14165
_SET2_   ENSG00000143839     1  204123944  204135465     51      14  528182       1.8584     0.031555
_SET2_   ENSG00000170498     1  204159469  204165614     26       7  516300       1.9477     0.025725
_SET2_   ENSG00000184144     1  205012325  205047627    175      31  521257       1.7449     0.040505
_SET2_   ENSG00000123836     1  207222801  207254369     77      20  511979      0.38538      0.34998
_SET2_   ENSG00000174059     1  208057594  208084747    118      27  519728   -0.0064555      0.50258
_SET2_   ENSG00000170385     1  211744910  211752084     15       5  515399      0.34484      0.36511
_SET2_   ENSG00000092969     1  218519577  218617961    331      69  516607      0.93017      0.17614
_SET2_   ENSG00000116141     1  220701568  220837803    365      28  518109     -0.75738      0.77559
_SET2_   ENSG00000143786     1  224622362  224928251   1176      77  515874       1.9825     0.023714
_SET2_   ENSG00000143740     1  227916240  227968927    247      42  517987      -1.3375      0.90947
_SET2_   ENSG00000143816     1  228106357  228135599    142      28  515839     -0.32927      0.62903
_SET2_   ENSG00000154342     1  228194752  228248961    177      36  514170     -0.54705      0.70783
_SET2_   ENSG00000143761     1  228270361  228286912     45      17  512828     -0.29969      0.61779
_SET2_   ENSG00000198835     1  228337553  228347527     22      11  511261    0.0057144      0.49772
_SET2_   ENSG00000135744     1  230838269  230850043     71      18  524959      -1.0144      0.84481
_SET2_   ENSG00000135766     1  231499497  231560790    319      13  526009     0.018593      0.49258
_SET2_   ENSG00000162946     1  231762561  232177018   1577     174  520462     -0.55453      0.71039
_SET2_   ENSG00000198626     1  237205505  237997288   3877     324  518207       1.7798     0.037554
_SET2_   ENSG00000133019     1  239549865  240078750   2247     160  504806      0.29532      0.38388
_SET2_   ENSG00000117009     1  241695434  241758944    314      69  518834     0.075128      0.47006
_SET2_   ENSG00000176887     2    5832799    5841516     19      11  512238      0.69549      0.24337
_SET2_   ENSG00000143882     2   10861775   10925236    303      54  514596      -1.8944      0.97092
_SET2_   ENSG00000163032     2   17720393   17838285    539      37  524373       1.3099     0.095108
_SET2_   ENSG00000170745     2   18059114   18542882   2465     191  523551    -0.072014       0.5287
_SET2_   ENSG00000115884     2   20400558   20425194    103      22  513304     -0.61062      0.72927
_SET2_   ENSG00000119782     2   24272571   24286551     48      18  509426       3.5941   0.00016276
_SET2_   ENSG00000115138     2   25383722   25391772     29      16  511520      0.33343      0.36941
_SET2_   ENSG00000115155     2   26680071   26781566    500      79  515479      -1.0592      0.85525
_SET2_   ENSG00000171303     2   26915619   26956288    130      30  519229       3.4378   0.00029319
_SET2_   ENSG00000163794     2   27530268   27531313      1       1  490024      0.79262        0.214
_SET2_   ENSG00000115808     2   37070783   37193615    485      44  517240      0.36208      0.35865
_SET2_   ENSG00000138078     2   44543420   44589001    186      32  514807    -0.049643       0.5198
_SET2_   ENSG00000138083     2   45168902   45173216     24      10  502841       4.8264   6.9501e-07
_SET2_   ENSG00000171132     2   45878484   46415129   2721     287  520671      0.99013      0.16105
_SET2_   ENSG00000179915     2   50145643   51259674   4881     207  521022       1.4624      0.07181
_SET2_   ENSG00000068878     2   54091204   54197977    411      39  519690       1.1867      0.11768
_SET2_   ENSG00000143947     2   55459039   55462989     21      12  504172     -0.39469      0.65346
_SET2_   ENSG00000115464     2   61414598   61697904    963      55  516201       2.7567    0.0029196
_SET2_   ENSG00000115902     2   65215611   65250999    143      46  515654      0.82154      0.20567
_SET2_   ENSG00000138069     2   65297835   65357240    254      30  523516       3.0197    0.0012651
_SET2_   ENSG00000221823     2   68405989   68483369    247      32  509568      0.31361      0.37691
_SET2_   ENSG00000116035     2   71127720   71160576    138      35  520958       1.6901     0.045507
_SET2_   ENSG00000135631     2   73300510   73383849    319      37  523190       1.4328     0.075963
_SET2_   ENSG00000135622     2   74881355   74909186     74      19  499933      0.73814      0.23021
_SET2_   ENSG00000162951     2   80515483   80531874     43      16  519396       1.5101     0.065509
_SET2_   ENSG00000186854     2   85048774   85134132    324      31  523415     0.049031      0.48045
_SET2_   ENSG00000152284     2   85360533   85537511    770      74  522534     -0.23388      0.59246
_SET2_   ENSG00000118640     2   85788685   85809154     80      14  527730         1.79     0.036727
_SET2_   ENSG00000222040     2   96778707   96781984      9       4  505537       1.0232      0.15311
_SET2_   ENSG00000071054     2  102313312  102511149    603      52  505950      0.37847      0.35254
_SET2_   ENSG00000115665     2  108602979  108630450    102      39  522174      -1.4626      0.92822
_SET2_   ENSG00000153208     2  112656056  112787138    585      30  519770       1.0209      0.15366
_SET2_   ENSG00000125538     2  113587328  113594480     23      10  519744     -0.80318      0.78907
_SET2_   ENSG00000136688     2  113730780  113743242     31      11  511905      0.90647      0.18234
_SET2_   ENSG00000136689     2  113864791  113891593    137      14  528379     -0.33756      0.63215
_SET2_   ENSG00000125618     2  113973574  114036527    273      28  520580     -0.11099      0.54419
_SET2_   ENSG00000163083     2  121103719  121109384     10       7  500335       2.3472    0.0094575
_SET2_   ENSG00000074047     2  121493199  121750229   1065     135  517024     -0.67971      0.75166
_SET2_   ENSG00000178171     2  131513008  131525707     33      18  505059     0.085758      0.46583
_SET2_   ENSG00000150551     2  133402426  133429152    116      17  504953      0.98727      0.16175
_SET2_   ENSG00000115839     2  135809835  135933964    275      26  505262       0.2258      0.41068
_SET2_   ENSG00000169554     2  145141648  145282147    322      78  513423      0.33891      0.36734
_SET2_   ENSG00000123610     2  152214106  152236560     82      15  520189       2.0541     0.019983
_SET2_   ENSG00000182389     2  152689290  152955593    916      61  517999       2.8168    0.0024253
_SET2_   ENSG00000162989     2  155554811  155714863    692      87  519798        1.263       0.1033
_SET2_   ENSG00000153234     2  157180944  157198860     24      11  508278       1.0064      0.15712
_SET2_   ENSG00000123612     2  158383279  158485517    247      67  510279      0.34696      0.36431
_SET2_   ENSG00000144283     2  159313476  159539391    936      42  522671    -0.033929      0.51353
_SET2_   ENSG00000115233     2  162164549  162268228    263      35  516950       4.9831   3.1288e-07
_SET2_   ENSG00000197635     2  162848751  162931052    282      38  522772       1.4364     0.075449
_SET2_   ENSG00000115263     2  162999392  163008914     17       5  498855       1.0484      0.14722
_SET2_   ENSG00000152254     2  169757750  169766505     34      15  509114     -0.41006      0.65912
_SET2_   ENSG00000128683     2  171669723  171717661    188      34  522670      0.67961      0.24838
_SET2_   ENSG00000091428     2  173600002  173917621   1200     105  522372      0.88393      0.18837
_SET2_   ENSG00000138435     2  175612320  175629200     69      16  516148     -0.20248      0.58023
_SET2_   ENSG00000162992     2  182537815  182545603     15       7  510269     0.050868      0.47972
_SET2_   ENSG00000162998     2  183698002  183731890    151      30  520858     -0.62618       0.7344
_SET2_   ENSG00000115419     2  191745553  191830278    220      46  505340      0.53595        0.296
_SET2_   ENSG00000115896     2  198669426  199437305   2362     141  517720        1.528      0.06325
_SET2_   ENSG00000155755     2  202484907  202508293     67      28  516095    -0.040703      0.51623
_SET2_   ENSG00000003393     2  202565277  202645912    330      31  521688      0.46058      0.32255
_SET2_   ENSG00000155760     2  202899310  202903160      7       4  537349       1.9247     0.027135
_SET2_   ENSG00000118263     2  207938861  208031991    402      71  522109     -0.85108      0.80264
_SET2_   ENSG00000118260     2  208394461  208468155    196      40  508074       1.1113      0.13323
_SET2_   ENSG00000163251     2  208627310  208634287     22      13  506398      0.98966      0.16117
_SET2_   ENSG00000115457     2  217497551  217529159    109      47  513324      -1.0703      0.85777
_SET2_   ENSG00000127838     2  219135115  219211516    259      23  516941       2.4852    0.0064732
_SET2_   ENSG00000115596     2  219724544  219738955     27       9  516706      -1.1951      0.88398
_SET2_   ENSG00000135925     2  219745085  219764303     39      17  506926       1.0815      0.13974
_SET2_   ENSG00000163501     2  219919142  219925189     17       5  519061     -0.54907      0.70852
_SET2_   ENSG00000054356     2  220154345  220174370     67      18  522917      -1.3381      0.90957
_SET2_   ENSG00000188760     2  220408385  220415317     28      12  506300     -0.41081      0.65939
_SET2_   ENSG00000123999     2  220433884  220440435     22      10  519363     -0.70862      0.76072
_SET2_   ENSG00000116106     2  222282747  222438922    625      67  518752       2.0833     0.018611
_SET2_   ENSG00000135919     2  224839829  224904036    350      42  521392     -0.80834      0.79055
_SET2_   ENSG00000036257     2  225334867  225450110    377      31  520809       3.7637   8.3695e-05
_SET2_   ENSG00000169047     2  227596033  227664475    232      33  519412     0.015314      0.49389
_SET2_   ENSG00000115009     2  228678558  228682272      6       4  499556      0.36785      0.35649
_SET2_   ENSG00000173692     2  231921578  232037541    311      45  511496      -0.9343      0.82493
_SET2_   ENSG00000135914     2  231972944  231989832     30      15  511677     -0.41016      0.65916
_SET2_   ENSG00000135902     2  233390703  233401377     44      14  513717      -1.8886      0.97053
_SET2_   ENSG00000196811     2  233404437  233411113     38      14  512687      -1.6941      0.95488
_SET2_   ENSG00000132326     2  239152679  239198743    183      39  518100      0.58918      0.27787
_SET2_   ENSG00000142330     2  241526133  241557122    190      29  524138     -0.13186      0.55245
_SET2_   ENSG00000115687     2  242045514  242089679    303      40  515894       2.5738    0.0050296
_SET2_   ENSG00000144619     3    2140497    3099645   5511     428  521024     -0.79621      0.78705
_SET2_   ENSG00000150995     3    4535032    4889524   1802     236  518938      0.49682      0.30966
_SET2_   ENSG00000196277     3    6811688    7783215   5070     337  516344      0.46262      0.32182
_SET2_   ENSG00000180914     3    8792094    8811314    115      35  526691     -0.99868      0.84103
_SET2_   ENSG00000171135     3    9932238    9936033     19       8  515937     -0.95427      0.83003
_SET2_   ENSG00000157017     3   10327359   10334631     30      14  519406       1.7315     0.041679
_SET2_   ENSG00000157103     3   11034410   11080933    238      70  518780      -0.4495      0.67347
_SET2_   ENSG00000196639     3   11178779   11305243    504      65  520794       1.9461     0.025824
_SET2_   ENSG00000132155     3   12625100   12705725    275      25  518580       1.5852     0.056466
_SET2_   ENSG00000154764     3   13857755   13921618    322      57  519963      0.62377      0.26639
_SET2_   ENSG00000206561     3   15491640   15563258    291      35  524573     -0.08042      0.53205
_SET2_   ENSG00000154822     3   16844159   17132086   1134      67  517171       1.3903     0.082219
_SET2_   ENSG00000144566     3   19988571   20026667    177      31  522545      0.26873      0.39407
_SET2_   ENSG00000144642     3   29322473   30051886   3747     220  521207     -0.38994      0.65171
_SET2_   ENSG00000093167     3   37094117   37225180    392      27  520752       -1.063       0.8561
_SET2_   ENSG00000114739     3   38495342   38534633    147      24  505541       3.6651   0.00012363
_SET2_   ENSG00000183873     3   38589548   38691164    445      91  514602       1.8913     0.029295
_SET2_   ENSG00000185313     3   38738293   38835501    446      57  522686      -1.3071      0.90441
_SET2_   ENSG00000168329     3   39304985   39323226     74      27  528153      0.16839      0.43314
_SET2_   ENSG00000170011     3   39850405   40301812   1901     107  517013     -0.83882      0.79922
_SET2_   ENSG00000168036     3   41236328   41301587    163      32  511628      -1.5348      0.93758
_SET2_   ENSG00000144791     3   45596886   45727830    603      39  520695      -1.5676      0.94152
_SET2_   ENSG00000163823     3   46243200   46249887     17       4  506365    -0.024412      0.50974
_SET2_   ENSG00000121807     3   46395225   46402419     25       8  518537      0.41251      0.33998
_SET2_   ENSG00000160791     3   46411633   46417697     21       6  528536     -0.33263      0.63029
_SET2_   ENSG00000076201     3   47422501   47454931     64      18  506439     -0.25071      0.59898
_SET2_   ENSG00000114646     3   47603729   47622282     40      13  511630      0.40456       0.3429
_SET2_   ENSG00000008300     3   48673902   48700348     43      10  513631       2.9527    0.0015753
_SET2_   ENSG00000067560     3   49396578   49450431    138      25  512209       3.0316    0.0012163
_SET2_   ENSG00000173402     3   49506146   49573048    182      31  506980       2.5267    0.0057567
_SET2_   ENSG00000164061     3   49591922   49708978    260      34  512431       2.7991    0.0025623
_SET2_   ENSG00000164078     3   49924435   49941299     37      12  512691      0.89628      0.18505
_SET2_   ENSG00000114353     3   50263724   50296787     72      28  505346     -0.31913      0.62519
_SET2_   ENSG00000007402     3   50400233   50541675    415      43  517669        3.197    0.0006944
_SET2_   ENSG00000164082     3   51741086   51752629     13       8  499956       1.0305      0.15138
_SET2_   ENSG00000010322     3   52489134   52527087    125      18  515269     -0.29563      0.61624
_SET2_   ENSG00000010327     3   52529354   52558511     99      28  509666       1.2681      0.10238
_SET2_   ENSG00000157388     3   53528683   53847760   1147     131  518342     -0.14844        0.559
_SET2_   ENSG00000114251     3   55499743   55523973     80      28  511854     -0.26608      0.60491
_SET2_   ENSG00000187672     3   55542336   56502391   3969     176  519880      0.58616      0.27889
_SET2_   ENSG00000163686     3   58223233   58281420    243      30  527267       2.1319     0.016508
_SET2_   ENSG00000168297     3   58318607   58411748    459      29  527703      0.50367      0.30725
_SET2_   ENSG00000168309     3   58549844   58613337    344      46  524149      -1.0649      0.85653
_SET2_   ENSG00000198643     3   58619673   58652575    154      27  524717       1.2606      0.10372
_SET2_   ENSG00000163618     3   62384022   62861054   2450     178  521571       2.0936     0.018146
_SET2_   ENSG00000163636     3   63996225   64009658     63      25  508333      -1.3212      0.90679
_SET2_   ENSG00000163637     3   64079543   64431152   1628     157  517128      -2.3374      0.99029
_SET2_   ENSG00000144747     3   69068978   69101484     97      24  515292       2.3266    0.0099935
_SET2_   ENSG00000187098     3   69788586   70017488    829      42  520714       1.0086       0.1566
_SET2_   ENSG00000170837     3   71803201   71805647      3       2  521574       1.1987      0.11531
_SET2_   ENSG00000179097     3   88039846   88042919     10       7  509941      0.55991      0.28777
_SET2_   ENSG00000178750     3   93733213   93747454     26      12  499561      0.84719      0.19845
_SET2_   ENSG00000113966     3   97483365   97519953    114      23  507022     -0.19128      0.57585
_SET2_   ENSG00000151577     3  113847499  113918254    273      38  519478      0.79062      0.21458
_SET2_   ENSG00000144847     3  118619404  118864915    871      71  519108       1.2467      0.10626
_SET2_   ENSG00000082701     3  119540170  119813264    654      47  514674     -0.67736      0.75091
_SET2_   ENSG00000145087     3  120626919  121143608   2143      49  518509        1.237      0.10804
_SET2_   ENSG00000145103     3  121706170  121741051    120      35  509570      0.40479      0.34282
_SET2_   ENSG00000036828     3  121902530  122005342    487      43  527384     -0.80634      0.78998
