# TOTAL_GENES = 18808
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_inosi...          SET      52    -0.080869   -0.0042464      0.14135      0.71637 Curated_gene_sets:kegg_inositol_phosphate_metabolism
Curated_gene_sets:kegg_glyco...9         SET      24      0.51725     0.018466      0.19032    0.0032886 Curated_gene_sets:kegg_glycosylphosphatidylinositol_gpi_anchor_biosynthesis
Curated_gene_sets:kegg_glyce...2         SET      74    0.0084279   0.00052762      0.12596      0.47333 Curated_gene_sets:kegg_glycerophospholipid_metabolism
Curated_gene_sets:kegg_ether...          SET      33         0.12    0.0050222      0.18364      0.25674 Curated_gene_sets:kegg_ether_lipid_metabolism
Curated_gene_sets:kegg_arach...          SET      58      -0.1216   -0.0067422      0.14194      0.80419 Curated_gene_sets:kegg_arachidonic_acid_metabolism
Curated_gene_sets:kegg_linol...          SET      29     -0.16462   -0.0064592      0.19715      0.79814 Curated_gene_sets:kegg_linoleic_acid_metabolism
Curated_gene_sets:kegg_alpha...          SET      19     -0.12983   -0.0041247      0.21731       0.7249 Curated_gene_sets:kegg_alpha_linolenic_acid_metabolism
Curated_gene_sets:kegg_sphin...          SET      37     0.090518    0.0040109        0.183      0.31043 Curated_gene_sets:kegg_sphingolipid_metabolism
Curated_gene_sets:kegg_glyco...8         SET      25      0.25517    0.0092973      0.19942      0.10035 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_lacto_and_neolacto_series
Curated_gene_sets:kegg_glyco...7         SET      13     -0.19232   -0.0050546      0.28836      0.74759 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_globo_series
Curated_gene_sets:kegg_glyco...6         SET      15     0.054516     0.001539      0.30374      0.42878 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_ganglio_series
Curated_gene_sets:kegg_pyruv...          SET      39    -0.051206   -0.0023294      0.15657      0.62819 Curated_gene_sets:kegg_pyruvate_metabolism
Curated_gene_sets:kegg_glyox...          SET      16      0.02793   0.00081431      0.23557      0.45281 Curated_gene_sets:kegg_glyoxylate_and_dicarboxylate_metabolism
Curated_gene_sets:kegg_propa...          SET      31    -0.094404   -0.0038296       0.2016       0.6802 Curated_gene_sets:kegg_propanoate_metabolism
Curated_gene_sets:kegg_butan...          SET      32     -0.20354   -0.0083887      0.18797      0.86055 Curated_gene_sets:kegg_butanoate_metabolism
Curated_gene_sets:kegg_one_c...          SET      17     0.025248   0.00075874      0.25422      0.46044 Curated_gene_sets:kegg_one_carbon_pool_by_folate
Curated_gene_sets:kegg_ribof...          SET      15      0.18912    0.0053387      0.25822      0.23197 Curated_gene_sets:kegg_riboflavin_metabolism
Curated_gene_sets:kegg_nicot...          SET      24     -0.11579   -0.0041336      0.23076      0.69208 Curated_gene_sets:kegg_nicotinate_and_nicotinamide_metabolism
Curated_gene_sets:kegg_panto...          SET      16     0.013952   0.00040677      0.24116      0.47693 Curated_gene_sets:kegg_pantothenate_and_coa_biosynthesis
Curated_gene_sets:kegg_folat...          SET      11      0.13395    0.0032385      0.32305       0.3392 Curated_gene_sets:kegg_folate_biosynthesis
Curated_gene_sets:kegg_retin...          SET      61     -0.29802    -0.016945      0.17244      0.95802 Curated_gene_sets:kegg_retinol_metabolism
Curated_gene_sets:kegg_porph...          SET      40    -0.067516   -0.0031104      0.18967      0.63907 Curated_gene_sets:kegg_porphyrin_and_chlorophyll_metabolism
Curated_gene_sets:kegg_terpe...          SET      14     -0.22634   -0.0061731      0.26123      0.80687 Curated_gene_sets:kegg_terpenoid_backbone_biosynthesis
Curated_gene_sets:kegg_limon...          SET      10     -0.19419   -0.0044767       0.3441      0.71374 Curated_gene_sets:kegg_limonene_and_pinene_degradation
Curated_gene_sets:kegg_nitro...          SET      20     -0.19102    -0.006226      0.23923       0.7877 Curated_gene_sets:kegg_nitrogen_metabolism
Curated_gene_sets:kegg_sulfu...          SET      11     -0.16511    -0.003992      0.32649      0.69347 Curated_gene_sets:kegg_sulfur_metabolism
Curated_gene_sets:kegg_amino...2         SET      39    -0.085632   -0.0038955      0.16136      0.70218 Curated_gene_sets:kegg_aminoacyl_trna_biosynthesis
Curated_gene_sets:kegg_metab...          SET      70     -0.14821   -0.0090251      0.15947      0.82366 Curated_gene_sets:kegg_metabolism_of_xenobiotics_by_cytochrome_p450
Curated_gene_sets:kegg_drug_...1         SET      70    -0.017326   -0.0010551      0.16034      0.54303 Curated_gene_sets:kegg_drug_metabolism_cytochrome_p450
Curated_gene_sets:kegg_drug_...2         SET      51     0.057224    0.0029759      0.17422      0.37128 Curated_gene_sets:kegg_drug_metabolism_other_enzymes
Curated_gene_sets:kegg_biosy...          SET      22    -0.063207   -0.0021605      0.22159      0.61227 Curated_gene_sets:kegg_biosynthesis_of_unsaturated_fatty_acids
Curated_gene_sets:kegg_abc_t...          SET      40     -0.36739    -0.016925      0.17882      0.98003 Curated_gene_sets:kegg_abc_transporters
Curated_gene_sets:kegg_ribos...          SET      80     0.078373    0.0051007      0.10595      0.22973 Curated_gene_sets:kegg_ribosome
Curated_gene_sets:kegg_rna_d...          SET      54     0.029799    0.0015945      0.14142      0.41656 Curated_gene_sets:kegg_rna_degradation
Curated_gene_sets:kegg_rna_p...          SET      27   -0.0076541   -0.0002898      0.17315      0.51763 Curated_gene_sets:kegg_rna_polymerase
Curated_gene_sets:kegg_basal...2         SET      30      0.18875    0.0075325      0.20465      0.17819 Curated_gene_sets:kegg_basal_transcription_factors
Curated_gene_sets:kegg_dna_r...          SET      34    -0.060521    -0.002571      0.17023       0.6389 Curated_gene_sets:kegg_dna_replication
Curated_gene_sets:kegg_splic...          SET     116     0.079563    0.0062292     0.087824      0.18249 Curated_gene_sets:kegg_spliceosome
Curated_gene_sets:kegg_prote...1         SET      45      0.18756    0.0091634      0.13866     0.088088 Curated_gene_sets:kegg_proteasome
Curated_gene_sets:kegg_prote...2         SET      23    -0.011543  -0.00040343      0.21815       0.5211 Curated_gene_sets:kegg_protein_export
Curated_gene_sets:kegg_ppar_...          SET      66      -0.1177   -0.0069605      0.12435      0.82807 Curated_gene_sets:kegg_ppar_signaling_pathway
Curated_gene_sets:kegg_base_...          SET      32    -0.098642   -0.0040654      0.16222      0.72842 Curated_gene_sets:kegg_base_excision_repair
Curated_gene_sets:kegg_nucle...          SET      40    0.0076832   0.00035396      0.16084      0.48095 Curated_gene_sets:kegg_nucleotide_excision_repair
Curated_gene_sets:kegg_misma...          SET      22     0.024319   0.00083127      0.22003        0.456 Curated_gene_sets:kegg_mismatch_repair
Curated_gene_sets:kegg_homol...          SET      28     0.075726    0.0029197      0.18746      0.34313 Curated_gene_sets:kegg_homologous_recombination
Curated_gene_sets:kegg_non_h...          SET      13    -0.072062    -0.001894       0.2734      0.60395 Curated_gene_sets:kegg_non_homologous_end_joining
Curated_gene_sets:kegg_mapk_...          SET     252      0.05413    0.0062237     0.068003      0.21302 Curated_gene_sets:kegg_mapk_signaling_pathway
Curated_gene_sets:kegg_erbb_...          SET      85      0.14358    0.0096309      0.12406      0.12356 Curated_gene_sets:kegg_erbb_signaling_pathway
Curated_gene_sets:kegg_calci...          SET     167     0.030668     0.002877     0.085239      0.35951 Curated_gene_sets:kegg_calcium_signaling_pathway
Curated_gene_sets:kegg_cytok...          SET     248     -0.19367    -0.022092     0.074289      0.99543 Curated_gene_sets:kegg_cytokine_cytokine_receptor_interaction
Curated_gene_sets:kegg_chemo...          SET     183      0.05211    0.0051152     0.081187      0.26049 Curated_gene_sets:kegg_chemokine_signaling_pathway
Curated_gene_sets:kegg_phosp...          SET      75     -0.10016   -0.0063123      0.12078      0.79652 Curated_gene_sets:kegg_phosphatidylinositol_signaling_system
Curated_gene_sets:kegg_neuro...1         SET     253    -0.063586   -0.0073252     0.073735      0.80575 Curated_gene_sets:kegg_neuroactive_ligand_receptor_interaction
Curated_gene_sets:kegg_cell_...2         SET     122    -0.005263  -0.00042251     0.091306      0.52298 Curated_gene_sets:kegg_cell_cycle
Curated_gene_sets:kegg_oocyt...          SET     107     0.095899    0.0072128     0.098337      0.16473 Curated_gene_sets:kegg_oocyte_meiosis
Curated_gene_sets:kegg_p53_s...          SET      67    -0.053765   -0.0032033      0.13816      0.65141 Curated_gene_sets:kegg_p53_signaling_pathway
Curated_gene_sets:kegg_ubiqu...          SET     126     0.064967    0.0052998     0.087985      0.23015 Curated_gene_sets:kegg_ubiquitin_mediated_proteolysis
Curated_gene_sets:kegg_snare...          SET      36    -0.094305    -0.004122      0.17798      0.70189 Curated_gene_sets:kegg_snare_interactions_in_vesicular_transport
Curated_gene_sets:kegg_regul...2         SET      32      0.12455    0.0051331      0.18182      0.24667 Curated_gene_sets:kegg_regulation_of_autophagy
Curated_gene_sets:kegg_lysos...          SET     114    -0.085715   -0.0066532     0.095878      0.81433 Curated_gene_sets:kegg_lysosome
Curated_gene_sets:kegg_endoc...          SET     169    -0.012056   -0.0011377     0.081059      0.55911 Curated_gene_sets:kegg_endocytosis
Curated_gene_sets:kegg_perox...          SET      75       0.0258     0.001626      0.11464      0.41097 Curated_gene_sets:kegg_peroxisome
Curated_gene_sets:kegg_mtor_...          SET      50      0.13561    0.0069829      0.15401       0.1893 Curated_gene_sets:kegg_mtor_signaling_pathway
Curated_gene_sets:kegg_apopt...          SET      80     0.023084    0.0015023      0.12305       0.4256 Curated_gene_sets:kegg_apoptosis
Curated_gene_sets:kegg_cardi...          SET      68    -0.080038    -0.004804      0.13095      0.72947 Curated_gene_sets:kegg_cardiac_muscle_contraction
Curated_gene_sets:kegg_vascu...          SET     112    -0.035646   -0.0027426      0.10455      0.63343 Curated_gene_sets:kegg_vascular_smooth_muscle_contraction
Curated_gene_sets:kegg_wnt_s...          SET     145     0.053282    0.0046604      0.08955      0.27593 Curated_gene_sets:kegg_wnt_signaling_pathway
Curated_gene_sets:kegg_dorso...          SET      22     -0.16335   -0.0055835      0.24237      0.74982 Curated_gene_sets:kegg_dorso_ventral_axis_formation
Curated_gene_sets:kegg_notch...          SET      46      0.11697    0.0057779       0.1421      0.20522 Curated_gene_sets:kegg_notch_signaling_pathway
Curated_gene_sets:kegg_hedge...          SET      55     0.090953    0.0049114      0.14584      0.26643 Curated_gene_sets:kegg_hedgehog_signaling_pathway
Curated_gene_sets:kegg_tgf_b...          SET      85      0.05423    0.0036375      0.11822      0.32322 Curated_gene_sets:kegg_tgf_beta_signaling_pathway
Curated_gene_sets:kegg_axon_...          SET     124      0.32161     0.026028      0.10185   0.00079631 Curated_gene_sets:kegg_axon_guidance
Curated_gene_sets:kegg_vegf_...          SET      76     0.085651    0.0054338      0.12578      0.24795 Curated_gene_sets:kegg_vegf_signaling_pathway
Curated_gene_sets:kegg_focal...          SET     192   -0.0032488  -0.00032657     0.082557      0.51569 Curated_gene_sets:kegg_focal_adhesion
Curated_gene_sets:kegg_ecm_r...          SET      82    -0.024097   -0.0015877       0.1282      0.57455 Curated_gene_sets:kegg_ecm_receptor_interaction
Curated_gene_sets:kegg_cell_...1         SET     105      0.29411     0.021914      0.11156     0.004193 Curated_gene_sets:kegg_cell_adhesion_molecules_cams
Curated_gene_sets:kegg_adher...          SET      70      0.36962     0.022508       0.1319    0.0025399 Curated_gene_sets:kegg_adherens_junction
Curated_gene_sets:kegg_tight...          SET     128     0.081906    0.0067341      0.10023      0.20692 Curated_gene_sets:kegg_tight_junction
Curated_gene_sets:kegg_gap_j...          SET      87      0.15418     0.010462      0.11929     0.098102 Curated_gene_sets:kegg_gap_junction
Curated_gene_sets:kegg_compl...          SET      63    -0.037181   -0.0021483       0.1364      0.60741 Curated_gene_sets:kegg_complement_and_coagulation_cascades
Curated_gene_sets:kegg_antig...          SET      56     0.075389    0.0041077      0.14701      0.30404 Curated_gene_sets:kegg_antigen_processing_and_presentation
Curated_gene_sets:kegg_renin...          SET      16      0.20817    0.0060691      0.25288      0.20521 Curated_gene_sets:kegg_renin_angiotensin_system
Curated_gene_sets:kegg_toll_...          SET      99     0.088658    0.0064155      0.11204      0.21438 Curated_gene_sets:kegg_toll_like_receptor_signaling_pathway
Curated_gene_sets:kegg_nod_l...          SET      58    -0.088221   -0.0048916      0.13451      0.74405 Curated_gene_sets:kegg_nod_like_receptor_signaling_pathway
Curated_gene_sets:kegg_rig_i...          SET      65     -0.17346     -0.01018      0.12959      0.90963 Curated_gene_sets:kegg_rig_i_like_receptor_signaling_pathway
Curated_gene_sets:kegg_cytos...          SET      52     0.076495    0.0040168      0.13775      0.28934 Curated_gene_sets:kegg_cytosolic_dna_sensing_pathway
Curated_gene_sets:kegg_jak_s...          SET     148     0.020126    0.0017783     0.092629        0.414 Curated_gene_sets:kegg_jak_stat_signaling_pathway
Curated_gene_sets:kegg_hemat...          SET      79    -0.072319   -0.0046773      0.12896      0.71252 Curated_gene_sets:kegg_hematopoietic_cell_lineage
Curated_gene_sets:kegg_natur...          SET     121     0.047886    0.0038286       0.1075        0.328 Curated_gene_sets:kegg_natural_killer_cell_mediated_cytotoxicity
Curated_gene_sets:kegg_t_cel...          SET     104      0.18592     0.013787      0.10671     0.040739 Curated_gene_sets:kegg_t_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_b_cel...          SET      73      0.20636     0.012832       0.1329     0.060248 Curated_gene_sets:kegg_b_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_fc_ep...          SET      77    -0.014801  -0.00094514      0.12362      0.54765 Curated_gene_sets:kegg_fc_epsilon_ri_signaling_pathway
Curated_gene_sets:kegg_fc_ga...          SET      94      0.12116    0.0085443      0.11631      0.14879 Curated_gene_sets:kegg_fc_gamma_r_mediated_phagocytosis
Curated_gene_sets:kegg_leuko...          SET     108      0.17927     0.013546      0.10836     0.049038 Curated_gene_sets:kegg_leukocyte_transendothelial_migration
Curated_gene_sets:kegg_intes...          SET      32     -0.16628   -0.0068532      0.17787      0.82506 Curated_gene_sets:kegg_intestinal_immune_network_for_iga_production
Curated_gene_sets:kegg_circa...          SET      13      0.21327    0.0056052      0.29817      0.23722 Curated_gene_sets:kegg_circadian_rhythm_mammal
Curated_gene_sets:kegg_long_...2         SET      66      0.29128     0.017225      0.13423     0.015014 Curated_gene_sets:kegg_long_term_potentiation
Curated_gene_sets:kegg_neuro...2         SET     120     0.084929    0.0067623       0.0972      0.19113 Curated_gene_sets:kegg_neurotrophin_signaling_pathway
Curated_gene_sets:kegg_long_...1         SET      68     0.029882    0.0017936      0.13538      0.41265 Curated_gene_sets:kegg_long_term_depression
Curated_gene_sets:kegg_olfac...          SET     366    -0.017293   -0.0023888     0.076459      0.58946 Curated_gene_sets:kegg_olfactory_transduction
Curated_gene_sets:kegg_taste...          SET      49    -0.073636   -0.0037537      0.17199      0.66573 Curated_gene_sets:kegg_taste_transduction
Curated_gene_sets:kegg_regul...1         SET     201     0.076461    0.0078622     0.078468      0.16493 Curated_gene_sets:kegg_regulation_of_actin_cytoskeleton
Curated_gene_sets:kegg_insul...          SET     131     0.067435    0.0056084     0.089888      0.22657 Curated_gene_sets:kegg_insulin_signaling_pathway
Curated_gene_sets:kegg_gnrh_...          SET      98      0.19823     0.014272      0.11022     0.036063 Curated_gene_sets:kegg_gnrh_signaling_pathway
Curated_gene_sets:kegg_proge...          SET      81      0.17745      0.01162      0.11379     0.059453 Curated_gene_sets:kegg_progesterone_mediated_oocyte_maturation
Curated_gene_sets:kegg_melan...1         SET      99      0.18483     0.013375      0.10975     0.046096 Curated_gene_sets:kegg_melanogenesis
Curated_gene_sets:kegg_adipo...          SET      62    0.0070419   0.00040365      0.13545      0.47927 Curated_gene_sets:kegg_adipocytokine_signaling_pathway
Curated_gene_sets:kegg_type_...2         SET      46      0.07071    0.0034928      0.16113      0.33039 Curated_gene_sets:kegg_type_ii_diabetes_mellitus
Curated_gene_sets:kegg_type_...1         SET      21       0.4106     0.013713      0.23907     0.042954 Curated_gene_sets:kegg_type_i_diabetes_mellitus
Curated_gene_sets:kegg_matur...          SET      25     0.059429    0.0021653      0.21345      0.39035 Curated_gene_sets:kegg_maturity_onset_diabetes_of_the_young
Curated_gene_sets:kegg_aldos...          SET      41   -0.0062247  -0.00029032      0.18084      0.51373 Curated_gene_sets:kegg_aldosterone_regulated_sodium_reabsorption
Curated_gene_sets:kegg_vasop...          SET      42    -0.093867   -0.0044309      0.15211      0.73142 Curated_gene_sets:kegg_vasopressin_regulated_water_reabsorption
Curated_gene_sets:kegg_proxi...          SET      22     -0.07919   -0.0027069      0.23514      0.63186 Curated_gene_sets:kegg_proximal_tubule_bicarbonate_reclamation
Curated_gene_sets:kegg_alzhe...          SET     154     0.079959    0.0072058     0.082412      0.16597 Curated_gene_sets:kegg_alzheimers_disease
Curated_gene_sets:kegg_parki...          SET     110      -0.0128  -0.00097603     0.094574      0.55383 Curated_gene_sets:kegg_parkinsons_disease
Curated_gene_sets:kegg_amyot...          SET      51    -0.015455  -0.00080371      0.14706      0.54185 Curated_gene_sets:kegg_amyotrophic_lateral_sclerosis_als
Curated_gene_sets:kegg_hunti...          SET     169    -0.003346  -0.00031575     0.075472      0.51768 Curated_gene_sets:kegg_huntingtons_disease
Curated_gene_sets:kegg_prion...          SET      32      0.37923      0.01563      0.18285     0.019049 Curated_gene_sets:kegg_prion_diseases
Curated_gene_sets:kegg_vibri...          SET      50      0.03261    0.0016792      0.15096      0.41449 Curated_gene_sets:kegg_vibrio_cholerae_infection
Curated_gene_sets:kegg_epith...          SET      63     -0.14941   -0.0086331      0.12766      0.87908 Curated_gene_sets:kegg_epithelial_cell_signaling_in_helicobacter_pylori_infection
Curated_gene_sets:kegg_patho...          SET      54      0.22862     0.012233      0.14235     0.054141 Curated_gene_sets:kegg_pathogenic_escherichia_coli_infection
Curated_gene_sets:kegg_leish...          SET      53     -0.18982    -0.010062      0.15768      0.88567 Curated_gene_sets:kegg_leishmania_infection
Curated_gene_sets:kegg_pathw...          SET     315      0.14761     0.018942     0.062592    0.0091872 Curated_gene_sets:kegg_pathways_in_cancer
Curated_gene_sets:kegg_color...          SET      62      0.33079     0.018961      0.14684     0.012146 Curated_gene_sets:kegg_colorectal_cancer
Curated_gene_sets:kegg_renal...          SET      68      0.10146    0.0060897      0.13452      0.22536 Curated_gene_sets:kegg_renal_cell_carcinoma
Curated_gene_sets:kegg_pancr...          SET      67      0.24002     0.014301      0.13727     0.040198 Curated_gene_sets:kegg_pancreatic_cancer
Curated_gene_sets:kegg_endom...          SET      51      0.45235     0.023524      0.15443    0.0017016 Curated_gene_sets:kegg_endometrial_cancer
Curated_gene_sets:kegg_glioma            SET      64      0.13318    0.0077558      0.13893      0.16888 Curated_gene_sets:kegg_glioma
Curated_gene_sets:kegg_prost...          SET      86      0.20291      0.01369      0.11851     0.043443 Curated_gene_sets:kegg_prostate_cancer
Curated_gene_sets:kegg_thyro...          SET      28       0.4046       0.0156      0.20789     0.025826 Curated_gene_sets:kegg_thyroid_cancer
Curated_gene_sets:kegg_basal...1         SET      55      0.14262    0.0077014      0.14333      0.15986 Curated_gene_sets:kegg_basal_cell_carcinoma
Curated_gene_sets:kegg_melan...2         SET      69      0.23205      0.01403      0.13966     0.048308 Curated_gene_sets:kegg_melanoma
Curated_gene_sets:kegg_bladd...          SET      40     0.049071    0.0022606       0.1693      0.38597 Curated_gene_sets:kegg_bladder_cancer
Curated_gene_sets:kegg_chron...          SET      72      0.20444     0.012625      0.12922      0.05683 Curated_gene_sets:kegg_chronic_myeloid_leukemia
Curated_gene_sets:kegg_acute...          SET      55      0.28392     0.015332       0.1544     0.032977 Curated_gene_sets:kegg_acute_myeloid_leukemia
Curated_gene_sets:kegg_small...          SET      81      0.29131     0.019077      0.12189    0.0084283 Curated_gene_sets:kegg_small_cell_lung_cancer
Curated_gene_sets:kegg_non_s...          SET      52      0.28281      0.01485       0.1549     0.033947 Curated_gene_sets:kegg_non_small_cell_lung_cancer
Curated_gene_sets:kegg_asthma            SET      14     -0.12371   -0.0033739      0.28931      0.66552 Curated_gene_sets:kegg_asthma
Curated_gene_sets:kegg_autoi...          SET      30      0.13538    0.0054026      0.20881      0.25839 Curated_gene_sets:kegg_autoimmune_thyroid_disease
Curated_gene_sets:kegg_syste...          SET      93     0.016739    0.0011742      0.12193       0.4454 Curated_gene_sets:kegg_systemic_lupus_erythematosus
Curated_gene_sets:kegg_allog...          SET      15      0.27169    0.0076698      0.28965      0.17413 Curated_gene_sets:kegg_allograft_rejection
Curated_gene_sets:kegg_graft...          SET      18    0.0056285   0.00017404      0.25891      0.49133 Curated_gene_sets:kegg_graft_versus_host_disease
Curated_gene_sets:kegg_prima...2         SET      29     -0.23504   -0.0092226      0.21096      0.86739 Curated_gene_sets:kegg_primary_immunodeficiency
Curated_gene_sets:kegg_hyper...          SET      81     0.075583    0.0049496      0.12328      0.26992 Curated_gene_sets:kegg_hypertrophic_cardiomyopathy_hcm
Curated_gene_sets:kegg_arrhy...          SET      71      0.13172     0.008078      0.13824      0.17035 Curated_gene_sets:kegg_arrhythmogenic_right_ventricular_cardiomyopathy_arvc
Curated_gene_sets:kegg_dilat...          SET      86      0.15735     0.010616      0.12079     0.096357 Curated_gene_sets:kegg_dilated_cardiomyopathy
Curated_gene_sets:kegg_viral...          SET      48     -0.01694  -0.00085473      0.17408      0.53876 Curated_gene_sets:kegg_viral_myocarditis
Curated_gene_sets:biocarta_r...14        SET      13    0.0029529   7.7609e-05      0.28645      0.49589 Curated_gene_sets:biocarta_rela_pathway
