# ALPHA = 0.05
# NUMBER_OF_TESTS = 15479

# _SET1_  VARIABLE = Curated_gene_sets:dawson_methylated_in_lymphoma_tcl1 (set)
# _SET1_  NGENES = 56
# _SET1_  P-VALUE = 2.26122e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET3_   ENSG00000136535     2  162272605  162282381     18      10  581112      0.68732      0.24594
_SET3_   ENSG00000144290     2  162280843  162841792   1784      50  608945       3.6906   0.00011187
_SET3_   ENSG00000081479     2  169983619  170219195   1031     113  612246       3.4513   0.00027897
_SET3_   ENSG00000128656     2  175664091  175870097    495      52  603971      0.96092       0.1683
_SET3_   ENSG00000128710     2  176973518  176984670     43      17  602666      0.48612      0.31344
_SET3_   ENSG00000128709     2  176987088  176989853     10       5  613749       1.5746     0.057674
_SET3_   ENSG00000116044     2  178092323  178257425    607      50  608138      0.76007      0.22361
_SET3_   ENSG00000115232     2  182321929  182400914    304      41  618193     0.011389      0.49546
_SET3_   ENSG00000162992     2  182537815  182545603     16       8  589941      0.36295      0.35832
_SET3_   ENSG00000061676     2  183773843  183903586    428      42  612047       0.5388      0.29501
_SET3_   ENSG00000170396     2  185463093  185804219   1165      54  596684       0.4658      0.32068
_SET3_   ENSG00000138411     2  197059094  197458416   1565     102  609399     -0.72159      0.76473
_SET3_   ENSG00000003402     2  201980827  202041410    179      28  614773      0.52912      0.29836
_SET3_   ENSG00000115993     2  202241930  202316302    207      29  606907      0.04142      0.48348
_SET3_   ENSG00000082146     2  202252581  202345569    239      35  606741      0.19897      0.42114
_SET3_   ENSG00000003393     2  202565277  202645912    330      31  615415     -0.75982      0.77632
_SET3_   ENSG00000204217     2  203241659  203432474    505      39  609051       4.1424   1.7182e-05
_SET3_   ENSG00000138443     2  204192942  204312446    294      50  607991       2.9982    0.0013578
_SET3_   ENSG00000173166     2  204259068  204400133    326      49  610690       2.8665    0.0020753
_SET3_   ENSG00000118257     2  206546714  206662857    424      98  607200       1.1467      0.12575
_SET3_   ENSG00000118263     2  207938861  208031991    405      66  613684       3.4804   0.00025029
_SET3_   ENSG00000118260     2  208394461  208468155    206      43  593648      0.30263      0.38108
_SET3_   ENSG00000078018     2  210288782  210598842   1071      56  610388      0.34211      0.36613
_SET3_   ENSG00000115414     2  216225163  216300895    306      37  615442       2.2158     0.013352
_SET3_   ENSG00000163497     2  219845809  219850379      6       2  621683      0.22478      0.41108
_SET3_   ENSG00000163501     2  219919142  219925189     17       5  610387      0.94407      0.17257
_SET3_   ENSG00000124006     2  220415451  220436581    104      26  603462      -2.1033      0.98228
_SET3_   ENSG00000116106     2  222282747  222438922    642      70  606453      0.60583      0.27231
_SET3_   ENSG00000135905     2  225629807  225907162   1084      89  606733       1.4284     0.076596
_SET3_   ENSG00000144460     2  226265364  226518734    691      76  607671        5.287   6.2166e-08
_SET3_   ENSG00000135916     2  231729354  231743963     77      20  617956     -0.98546       0.8378
_SET3_   ENSG00000115468     2  233470767  233547491    348      51  606969      0.25207      0.40049
_SET3_   ENSG00000066248     2  233743396  233877982    685      72  609416       1.7667     0.038643
_SET3_   ENSG00000168505     2  237073879  237077012     10       7  610789      0.47571      0.31714
_SET3_   ENSG00000124839     2  238482965  238510257    192      36  622044      0.50376      0.30721
_SET3_   ENSG00000063660     2  241375088  241407493    198      52  616255      0.18772      0.42555
_SET3_   ENSG00000168385     2  242254515  242293442    177      42  604030      -1.1341      0.87163
_SET3_   ENSG00000006607     2  242295658  242434256    628      52  606933     -0.64617      0.74092
_SET3_   ENSG00000115694     2  242432089  242449145     85      26  598175      0.48413      0.31415
_SET3_   ENSG00000134121     3     238279     451090   1182     119  613425       2.0101     0.022213
_SET3_   ENSG00000134115     3    1134260    1445901   1779     155  615298     -0.67578      0.75041
_SET3_   ENSG00000144619     3    2140497    3099645   5498     429  613481       3.5061   0.00022736
_SET3_   ENSG00000144550     3    9745491    9771592     85      42  608270        1.922     0.027304
_SET3_   ENSG00000134072     3    9799026    9811676     28      12  619193       0.3561      0.36088
_SET3_   ENSG00000157017     3   10327359   10334631     30      14  611846     -0.48054      0.68458
_SET3_   ENSG00000154764     3   13857755   13921618    317      55  614229        2.261      0.01188
_SET3_   ENSG00000151090     3   24158651   24536773   1608     189  611957       1.5239     0.063761
_SET3_   ENSG00000077097     3   25639475   25706398    193      27  610172       5.2656   6.9878e-08
_SET3_   ENSG00000033867     3   27414214   27525911    463      34  614653     -0.17501      0.56947
_SET3_   ENSG00000144674     3   37284668   37408242    382      35  610042      0.79217      0.21413
_SET3_   ENSG00000114745     3   39138150   39149854     52      18  607199       1.7698     0.038384
_SET3_   ENSG00000168036     3   41236328   41301587    161      31  599633       1.9776     0.023985
_SET3_   ENSG00000168038     3   41288090   42003922   3253      81  600705      0.86177      0.19441
_SET3_   ENSG00000182606     3   42055294   42267381    870      80  605691       1.4758     0.069996
_SET3_   ENSG00000187094     3   42299317   42307699     33      12  602055      -0.4825      0.68528
_SET3_   ENSG00000008324     3   42623332   42636606     47      14  608038     -0.48005       0.6844
_SET3_   ENSG00000047849     3   47892182   48130769    453      44  595592        5.624   9.3271e-09
_SET3_   ENSG00000164050     3   48445261   48471594     48      15  595672       1.9723      0.02429
_SET3_   ENSG00000008300     3   48673902   48700348     43      10  597190       1.1413      0.12688
_SET3_   ENSG00000213672     3   48701364   48723797     56      14  597392       1.9742     0.024177
_SET3_   ENSG00000172037     3   49158547   49170551     25      17  604405       3.8029   7.1506e-05
_SET3_   ENSG00000067560     3   49396578   49450431    137      24  602473       5.3781   3.7638e-08
_SET3_   ENSG00000173402     3   49506146   49573048    161      28  606277       5.0332   2.4119e-07
_SET3_   ENSG00000001617     3   50192478   50226508     98      23  615703        6.547   2.9354e-11
_SET3_   ENSG00000114349     3   50229045   50233949      6       3  556447       5.5117   1.7768e-08
_SET3_   ENSG00000145050     3   51422478   51426828      7       2  621844      0.44464      0.32829
_SET3_   ENSG00000247596     3   52262626   52273276     49      17  597210       2.0331     0.021021
_SET3_   ENSG00000010319     3   52467069   52479101     36      15  587661       1.8178     0.034545
_SET3_   ENSG00000114251     3   55499743   55523973     80      28  607836      0.51006        0.305
_SET3_   ENSG00000180376     3   56591189   56655846    334      33  616483     -0.61449      0.73055
_SET3_   ENSG00000168374     3   57557090   57583947    102      21  609169       2.5658    0.0051469
_SET3_   ENSG00000144724     3   61547243   62283288   3387     275  611195       5.2228     8.81e-08
_SET3_   ENSG00000153266     3   62355356   62359999      6       4  589928       1.1109      0.13331
_SET3_   ENSG00000185008     3   75955846   77699115   7379     349  608606       3.2273   0.00062491
_SET3_   ENSG00000169855     3   78646390   79816965   3974     182  608495       2.5262    0.0057649
_SET3_   ENSG00000044524     3   89156674   89531284   1113      68  600683       3.6423   0.00013512
_SET3_   ENSG00000080224     3   96533425   97471304   2468     129  591940      -0.6872      0.75402
_SET3_   ENSG00000036054     3   99979844  100044095    259      19  612565       -1.342       0.9102
_SET3_   ENSG00000114391     3  101399935  101405626     22      13  608508     -0.71738      0.76343
_SET3_   ENSG00000170017     3  105085753  105295744    893      60  609686       1.1124      0.13299
_SET3_   ENSG00000144857     3  112929850  113006303    333      56  617689      0.65312      0.25684
_SET3_   ENSG00000172020     3  115342171  115440337    347      71  612007      -1.3648      0.91384
_SET3_   ENSG00000082701     3  119540170  119813264    641      51  608277      0.63952      0.26124
_SET3_   ENSG00000082684     3  122628041  122747452    559      84  610968    0.0027626       0.4989
_SET3_   ENSG00000160145     3  123798870  124445172   2865     152  614216    -0.051452      0.52052
_SET3_   ENSG00000114554     3  126707437  126756235    223      38  617402       4.4384   4.5321e-06
_SET3_   ENSG00000179348     3  128198270  128212028     46      17  622851       2.4738    0.0066839
_SET3_   ENSG00000004399     3  129274018  129325661    236      39  615989      0.91122      0.18109
_SET3_   ENSG00000144868     3  132757235  133116636   1615      74  603460     -0.37441      0.64595
_SET3_   ENSG00000163785     3  133784147  133969689    669      44  616969       2.4594    0.0069587
_SET3_   ENSG00000154928     3  134316643  134979309   2658     219  613775       2.8582    0.0021306
_SET3_   ENSG00000158092     3  136581050  136668665    260      16  615811     -0.36783       0.6435
_SET3_   ENSG00000051382     3  138372860  138553780    399      28  607744     -0.13149      0.55231
_SET3_   ENSG00000163646     3  150643950  150690786    221      41  615357     -0.27121      0.60688
_SET3_   ENSG00000174953     3  153990335  154042286    141      31  608940       1.4406     0.074852
_SET3_   ENSG00000168779     3  157814948  157824292     32       6  618809       3.6058   0.00015557
