GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000116237	1	6281253	6296032	53	13	604380	-2.02	0.97831	ICMT
ENSG00000173673	1	6304252	6305638	7	3	615114	-1.662	0.95175	HES3
ENSG00000158292	1	6307406	6321035	52	8	618483	0.36409	0.35789	GPR153
ENSG00000097021	1	6324329	6454451	638	42	617006	-0.73707	0.76946	ACOT7
ENSG00000069812	1	6472478	6484730	54	14	609173	-0.69758	0.75728	HES2
ENSG00000187017	1	6484848	6521430	145	23	615331	-0.60256	0.7266	ESPN
ENSG00000215788	1	6521211	6526255	25	13	605371	-0.20222	0.58013	TNFRSF25
ENSG00000171680	1	6526152	6580121	230	55	604226	1.4815	0.06924	PLEKHG5
ENSG00000162408	1	6581407	6614595	154	12	614484	2.1065	0.017581	NOL9
ENSG00000173662	1	6615241	6639817	86	22	602315	2.1498	0.015785	TAS1R1
ENSG00000204859	1	6640061	6649340	20	12	613268	1.345	0.089316	ZBTB48
ENSG00000162413	1	6650784	6674667	87	29	602450	0.43322	0.33243	KLHL21
ENSG00000116273	1	6673745	6684093	28	8	601505	0.41999	0.33725	PHF13
ENSG00000041988	1	6684926	6695646	44	12	614870	-0.25923	0.60227	THAP3
ENSG00000007923	1	6694228	6761984	219	40	612675	1.671	0.047358	DNAJC11
ENSG00000171735	1	6845384	7829766	3956	324	609671	3.6667	0.00012286	CAMTA1
ENSG00000049245	1	7831329	7841492	44	14	621319	2.6662	0.0038359	VAMP3
ENSG00000049246	1	7844380	7905237	273	32	620517	2.9546	0.0015656	PER3
ENSG00000049247	1	7903143	7913572	46	16	625751	1.28	0.10028	UTS2
ENSG00000049249	1	7979907	8000926	68	15	608965	-0.15361	0.56104	TNFRSF9
ENSG00000116288	1	8014351	8045565	104	26	614290	-0.041582	0.51658	PARK7
ENSG00000116285	1	8064464	8086368	56	17	606663	-0.081983	0.53267	ERRFI1
ENSG00000162426	1	8377886	8404227	109	24	608672	4.5284	2.972e-06	SLC45A1
ENSG00000142599	1	8412457	8877702	1060	52	610703	5.5934	1.1136e-08	RERE
ENSG00000074800	1	8921061	8939308	47	15	594377	1.62	0.052615	ENO1
ENSG00000131686	1	9005926	9035151	171	43	608838	1.0296	0.1516	CA6
ENSG00000197241	1	9063359	9086404	115	43	610534	-1.0394	0.85069	SLC2A7
ENSG00000142583	1	9095166	9148537	243	44	616555	-1.5207	0.93584	SLC2A5
ENSG00000180758	1	9160364	9189229	108	23	613832	0.2726	0.39258	GPR157
ENSG00000049239	1	9294834	9331396	149	38	608054	-1.5757	0.94246	H6PD
ENSG00000171621	1	9352939	9429591	466	83	615381	1.2741	0.10131	SPSB1
ENSG00000171612	1	9599541	9645237	104	25	605494	-0.05117	0.5204	SLC25A33
ENSG00000188807	1	9648932	9674935	77	25	607839	-0.23176	0.59164	TMEM201
ENSG00000171608	1	9711790	9789172	290	54	590593	1.4032	0.080282	PIK3CD
ENSG00000179840	1	9712668	9714644	8	4	608986	1.3884	0.082502	C1orf200
ENSG00000171603	1	9789084	9884584	399	24	603638	0.88381	0.1884	CLSTN1
ENSG00000178585	1	9908334	9970394	191	48	585749	-1.2496	0.89427	CTNNBIP1
ENSG00000162441	1	9982173	10003465	67	20	614302	-0.89156	0.81369	LZIC
ENSG00000173614	1	10003486	10045559	128	30	611000	-0.64101	0.73924	NMNAT1
ENSG00000162444	1	10057264	10076078	56	11	618933	-0.51567	0.69696	RBP7
ENSG00000130939	1	10092890	10241297	498	46	602059	0.13158	0.44766	UBE4B
ENSG00000054523	1	10270863	10441661	686	30	618825	0.11075	0.45591	KIF1B
ENSG00000142657	1	10458649	10480201	74	16	615447	-0.1859	0.57374	PGD
ENSG00000251503	1	10490159	10512210	84	19	614341	-0.4802	0.68446	APITD1-CORT
ENSG00000175279	1	10490159	10512210	84	19	614341	-0.4802	0.68446	APITD1
ENSG00000241563	1	10509776	10511959	5	3	619459	-0.0041387	0.50165	CORT
ENSG00000160049	1	10516579	10532583	47	19	605053	-0.19256	0.57635	DFFA
ENSG00000142655	1	10532345	10690815	553	57	614324	0.17036	0.43236	PEX14
ENSG00000130940	1	10696661	10856707	663	133	610431	1.3093	0.095213	CASZ1
ENSG00000175262	1	11006528	11042094	169	30	615730	-0.66636	0.74741	C1orf127
ENSG00000120948	1	11072414	11085796	36	12	597063	-0.40599	0.65762	TARDBP
ENSG00000009724	1	11086580	11107290	85	18	609371	-0.31285	0.6228	MASP2
ENSG00000116649	1	11114641	11120081	9	3	616866	-0.090061	0.53588	SRM
ENSG00000171824	1	11126675	11159938	126	13	615262	-0.3697	0.6442	EXOSC10
ENSG00000198793	1	11166592	11322564	473	23	608512	-0.49185	0.68859	MTOR
ENSG00000171819	1	11249398	11256038	25	7	603620	-1.1487	0.87465	ANGPTL7
ENSG00000120942	1	11333263	11356106	54	12	613377	-1.3788	0.91602	UBIAD1
ENSG00000204624	1	11539223	11597641	204	29	616300	1.6869	0.045815	PTCHD2
ENSG00000116661	1	11708424	11715842	35	23	607215	-2.1321	0.9835	FBXO2
ENSG00000132879	1	11714432	11723384	32	13	617325	-0.57664	0.71791	FBXO44
ENSG00000116663	1	11724181	11734411	46	17	604219	-1.735	0.95863	FBXO6
ENSG00000116670	1	11734537	11751707	79	19	621204	0.09143	0.46358	MAD2L2
ENSG00000162490	1	11751786	11785914	147	41	604277	-0.021454	0.50856	DRAXIN
ENSG00000177674	1	11796141	11814859	79	18	611318	0.20473	0.41889	AGTRAP
ENSG00000215910	1	11821844	11849642	179	17	622751	-0.80963	0.79092	C1orf167
ENSG00000177000	1	11845780	11866977	101	19	615725	0.25977	0.39752	MTHFR
ENSG00000011021	1	11866207	11903201	231	23	620397	0.52022	0.30146	CLCN6
ENSG00000175206	1	11905766	11908402	17	7	610387	0.18954	0.42483	NPPA
ENSG00000120937	1	11917521	11918988	4	2	566674	0.066621	0.47344	NPPB
ENSG00000116685	1	11979648	11986485	32	13	614401	1.7108	0.04356	KIAA2013
ENSG00000083444	1	11994262	12035595	189	32	606416	-0.42247	0.66366	PLOD1
ENSG00000116688	1	12040238	12073571	109	18	614208	1.1903	0.11695	MFN2
ENSG00000116691	1	12079523	12092102	35	12	613973	1.1906	0.1169	MIIP
ENSG00000120949	1	12123434	12204264	331	75	608236	-0.28381	0.61172	TNFRSF8
ENSG00000028137	1	12227060	12269285	182	35	612034	-1.2977	0.90281	TNFRSF1B
ENSG00000048707	1	12290124	12572099	820	42	606465	2.6126	0.0044924	VPS13D
ENSG00000162496	1	12627939	12677737	226	54	612029	-1.1665	0.8783	DHRS3
ENSG00000204518	1	12704566	12727097	99	19	597819	2.109	0.017471	AADACL4
ENSG00000188984	1	12776118	12788726	56	11	611712	0.50219	0.30777	AADACL3
ENSG00000157330	1	12806163	12823847	71	19	609787	-0.60689	0.72804	C1orf158
ENSG00000116726	1	12834984	12838049	12	6	591531	0.11202	0.4554	PRAMEF12
ENSG00000116721	1	12851546	12856777	11	6	608756	0.30634	0.37967	PRAMEF1
ENSG00000204513	1	12884468	12891264	19	7	591763	0.86354	0.19392	PRAMEF11
ENSG00000179172	1	12907261	12908578	4	2	632802	-0.62938	0.73545	HNRNPCL1
ENSG00000120952	1	12916941	12921764	28	7	616551	0.16281	0.43534	PRAMEF2
ENSG00000243073	1	12939045	12946025	10	7	581588	-0.51578	0.697	PRAMEF4
ENSG00000187545	1	12952727	12958101	1	1	508989	0.30286	0.381	PRAMEF10
ENSG00000232423	1	12998181	13117751	7	5	516444	-2.2155	0.98664	PRAMEF6
ENSG00000204491	1	13474689	13477522	1	1	575705	0.66821	0.252	PRAMEF18
ENSG00000204479	1	13716092	13719089	1	1	632802	0.66196	0.254	PRAMEF17
ENSG00000162494	1	13801445	13840543	225	59	612949	-0.56573	0.71421	LRRC38
ENSG00000162493	1	13909960	13944452	187	53	592898	1.9199	0.027432	PDPN
ENSG00000116731	1	14026693	14151574	522	44	612681	0.74129	0.22926	PRDM2
ENSG00000189337	1	14925200	15444539	2708	295	613101	1.6884	0.045666	KAZN
ENSG00000171729	1	15479028	15546976	437	44	617411	-1.4772	0.93019	TMEM51
ENSG00000204464	1	15490840	15497813	34	11	610942	-0.87811	0.81006	C1orf195
ENSG00000142621	1	15573768	15726779	689	103	611612	0.91827	0.17924	FHAD1
ENSG00000142634	1	15736391	15756839	95	34	601812	0.80601	0.21012	EFHD2
ENSG00000162438	1	15764935	15775737	36	15	620364	0.014706	0.49413	CTRC
ENSG00000142615	1	15783223	15798586	77	17	612903	0.38724	0.34929	CELA2A
ENSG00000215704	1	15792404	15817895	112	26	611036	1.6457	0.049914	CELA2B
ENSG00000132906	1	15817327	15853029	164	17	618785	1.3925	0.081888	CASP9
ENSG00000116138	1	15853308	15918874	271	22	613858	1.2172	0.11176	DNAJC16
ENSG00000116771	1	15898848	15911605	64	12	617605	1.0065	0.15708	AGMAT
ENSG00000197312	1	15943995	15995539	168	18	605595	0.65309	0.25685	DDI2
ENSG00000215695	1	15986364	15988217	6	4	589928	0.16738	0.43354	RSC1A1
ENSG00000116786	1	16010827	16061264	208	28	612869	1.1431	0.12649	PLEKHM2
ENSG00000162461	1	16062900	16067891	12	7	626410	0.58557	0.27908	SLC25A34
ENSG00000162460	1	16068917	16074477	28	9	595709	0.24917	0.40161	TMEM82
ENSG00000162458	1	16083102	16113089	130	28	578872	0.82688	0.20415	FBLIM1
ENSG00000065526	1	16174359	16266955	257	34	606035	1.7332	0.041531	SPEN
ENSG00000116809	1	16268364	16302627	99	34	605407	2.3116	0.0104	ZBTB17
ENSG00000183888	1	16330731	16335302	23	10	607105	1.1588	0.12327	C1orf64
ENSG00000173641	1	16340523	16346089	52	7	613467	-0.089038	0.53547	HSPB7
ENSG00000186510	1	16345370	16360545	113	23	603541	0.076976	0.46932	CLCNKA
ENSG00000184908	1	16370272	16383803	129	21	613635	3.0039	0.0013326	CLCNKB
ENSG00000185519	1	16384264	16400127	73	14	620975	1.9246	0.027137	FAM131C
ENSG00000142627	1	16450832	16482582	100	33	606945	-0.60091	0.72605	EPHA2
ENSG00000142632	1	16524349	16539104	71	13	614686	1.3595	0.086999	ARHGEF19
ENSG00000204377	1	16555368	16556038	3	1	632802	0.41443	0.33928	C1orf134
ENSG00000132881	1	16558195	16563657	20	9	619940	1.1782	0.11935	RSG1
ENSG00000037637	1	16573334	16678949	325	24	612502	1.0993	0.13582	FBXO42
ENSG00000055070	1	16679070	16724640	142	26	609040	1.0438	0.14829	SZRD1
ENSG00000187144	1	16713612	16763919	184	42	612492	-0.3243	0.62715	SPATA21
ENSG00000157191	1	16767167	16786573	69	23	605895	-1.1777	0.88054	NECAP2
ENSG00000219481	1	16888814	16940057	8	5	578621	-2.1393	0.98379	NBPF1
ENSG00000058453	1	17066768	17299474	294	42	607508	0.68559	0.24649	CROCC
ENSG00000117122	1	17300997	17307330	19	8	615751	-0.65057	0.74234	MFAP2
ENSG00000159363	1	17312453	17338423	72	20	612581	-1.0629	0.85608	ATP13A2
ENSG00000117118	1	17345217	17380665	147	19	621022	-0.28395	0.61178	SDHB
ENSG00000117115	1	17393256	17445948	327	28	620685	-0.89193	0.81379	PADI2
ENSG00000142623	1	17531621	17572500	239	77	607758	-0.73098	0.7676	PADI1
ENSG00000142619	1	17575593	17610728	224	42	615574	0.26395	0.39591	PADI3
ENSG00000159339	1	17634690	17690499	344	34	617542	-0.47286	0.68184	PADI4
ENSG00000269468	1	17655507	17676070	162	18	623344	-0.52998	0.70194	AC004824.2
ENSG00000179051	1	17733256	17766220	132	34	597065	-0.60085	0.72603	RCC2
ENSG00000074964	1	17866330	18024369	637	100	604727	-0.426	0.66495	ARHGEF10L
ENSG00000117148	1	18081808	18153558	301	43	606501	-0.11746	0.54675	ACTL8
ENSG00000117154	1	18434240	18704977	1376	193	611737	2.0454	0.02041	IGSF21
ENSG00000179023	1	18807424	18812478	29	7	625900	-0.85367	0.80336	KLHDC7A
ENSG00000009709	1	18957500	19075360	539	110	610465	0.31707	0.3756	PAX7
ENSG00000179002	1	19166093	19186176	139	30	619434	0.035682	0.48577	TAS1R2
ENSG00000255275	1	19175767	19247615	478	69	618409	0.371	0.35532	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	198	38	616247	0.33529	0.3687	ALDH4A1
ENSG00000169991	1	19230775	19283180	268	46	612463	-0.39373	0.65311	IFFO2
ENSG00000127481	1	19401000	19536770	383	34	606435	0.034234	0.48635	UBR4
ENSG00000127463	1	19542158	19578046	136	22	614582	0.072018	0.47129	EMC1
ENSG00000053372	1	19578033	19586622	58	11	627216	0.56183	0.28712	MRTO4
ENSG00000162482	1	19609052	19615744	32	7	620894	1.6288	0.051672	AKR7A3
ENSG00000053371	1	19630459	19638640	32	14	618798	0.094634	0.4623	AKR7A2
ENSG00000040487	1	19638820	19655794	98	18	620168	-0.32008	0.62555	PQLC2
ENSG00000077549	1	19665267	19812066	757	39	608947	-0.94169	0.82682	CAPZB
ENSG00000270136	1	19923473	19984549	296	41	591335	-0.59624	0.72449	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	151	19	579279	-0.31603	0.62401	MINOS1
ENSG00000158747	1	19967048	19984945	85	31	610269	-0.46107	0.67763	NBL1
ENSG00000158748	1	19991780	20006055	58	16	613400	0.31303	0.37713	HTR6
ENSG00000162542	1	20008706	20126438	549	83	613733	-0.4359	0.66854	TMCO4
ENSG00000178828	1	20140523	20141771	11	7	603351	0.057624	0.47702	RNF186
ENSG00000169914	1	20209006	20239438	108	28	605012	1.1562	0.1238	OTUD3
ENSG00000188784	1	20246502	20250110	21	7	617833	1.8533	0.031916	PLA2G2E
ENSG00000188257	1	20301925	20306932	24	13	614243	0.040836	0.48371	PLA2G2A
ENSG00000127472	1	20354672	20417683	265	28	613189	-0.34921	0.63654	PLA2G5
ENSG00000117215	1	20438432	20446050	36	17	607789	0.52817	0.29869	PLA2G2D
ENSG00000158786	1	20465819	20476879	40	23	603973	0.10827	0.45689	PLA2G2F
ENSG00000187980	1	20487746	20503917	68	19	613876	-1.282	0.90008	PLA2G2C
ENSG00000162543	1	20512578	20522541	23	13	585983	0.79285	0.21393	UBXN10
ENSG00000158816	1	20617412	20681387	318	40	618550	0.43153	0.33304	VWA5B1
ENSG00000162545	1	20808884	20812713	8	5	599692	1.13	0.12925	CAMK2N1
ENSG00000090432	1	20825943	20834654	41	17	600321	1.0471	0.14753	MUL1
ENSG00000183114	1	20878932	20881512	7	3	576938	0.15471	0.43853	FAM43B
ENSG00000158825	1	20915441	20945401	140	27	621742	0.34481	0.36512	CDA
ENSG00000158828	1	20959948	20978004	93	17	607791	0.98394	0.16257	PINK1
ENSG00000244038	1	20978270	20988000	41	12	598751	0.02676	0.48933	DDOST
ENSG00000117245	1	20990507	21044510	282	63	613489	1.9619	0.02489	KIF17
ENSG00000189410	1	21046225	21059330	51	17	615046	1.3127	0.094635	SH2D5
ENSG00000127483	1	21069154	21113816	121	26	617152	2.2899	0.011013	HP1BP3
ENSG00000075151	1	21132963	21503377	1042	43	611195	2.4407	0.0073289	EIF4G3
ENSG00000117298	1	21543740	21671997	553	68	602481	1.3008	0.096667	ECE1
ENSG00000142794	1	21766621	21811498	184	25	612553	0.25475	0.39946	NBPF3
ENSG00000162551	1	21835858	21904905	361	42	622139	1.0932	0.13716	ALPL
ENSG00000076864	1	21922708	21995801	333	60	620312	2.3194	0.010186	RAP1GAP
ENSG00000090686	1	22004791	22110099	463	51	612549	1.5672	0.058528	USP48
ENSG00000187942	1	22138758	22151714	62	31	605743	1.063	0.1439	LDLRAD2
ENSG00000142798	1	22148738	22263790	531	61	607688	0.082073	0.46729	HSPG2
ENSG00000219073	1	22303514	22325135	127	24	604372	0.10417	0.45852	CELA3B
ENSG00000142789	1	22328149	22339032	46	12	618918	-0.077366	0.53083	CELA3A
ENSG00000070831	1	22379120	22419437	153	33	601273	-0.11523	0.54587	CDC42
ENSG00000162552	1	22443798	22470462	129	33	611715	-1.1935	0.88366	WNT4
ENSG00000184677	1	22778344	22857650	231	41	605504	1.6042	0.054331	ZBTB40
ENSG00000070886	1	22890057	22930087	181	37	618498	1.2647	0.10299	EPHA8
ENSG00000173372	1	22962999	22966101	10	5	594696	0.069285	0.47238	C1QA
ENSG00000159189	1	22970123	22974603	26	6	611558	-0.74593	0.77214	C1QC
ENSG00000173369	1	22979255	22988031	37	11	602165	0.22677	0.4103	C1QB
ENSG00000133216	1	23037332	23241818	785	115	602094	0.32071	0.37421	EPHB2
ENSG00000215906	1	23279536	23291831	45	14	618609	-1.0178	0.84561	LACTBL1
ENSG00000227868	1	23337327	23342343	12	5	621683	-0.61157	0.72959	C1orf234
ENSG00000004487	1	23345941	23410182	116	23	609041	-0.8252	0.79537	KDM1A
ENSG00000169641	1	23410516	23504301	241	41	613491	-0.76387	0.77753	LUZP1
ENSG00000179546	1	23516993	23521222	14	5	614427	-0.48276	0.68537	HTR1D
ENSG00000125944	1	23630264	23670829	78	26	596744	1.7146	0.043211	HNRNPR
ENSG00000125945	1	23685941	23695935	36	10	620086	2.5452	0.0054601	ZNF436
ENSG00000249087	1	23695490	23698332	4	2	632802	0.5738	0.28305	C1orf213
ENSG00000204219	1	23707554	23751233	170	37	604291	-0.52654	0.70074	TCEA3
ENSG00000088280	1	23755056	23811061	185	35	597199	-0.89001	0.81327	ASAP3
ENSG00000007968	1	23832922	23857712	64	14	614940	-0.81955	0.79376	E2F2
ENSG00000117318	1	23884409	23886285	11	5	610291	-0.28884	0.61365	ID3
ENSG00000197880	1	23907985	23967058	191	63	599812	-0.68637	0.75376	MDS2
ENSG00000142676	1	24018269	24022915	16	6	612247	-0.75032	0.77347	RPL11
ENSG00000011007	1	24069645	24088549	43	17	581854	-0.53154	0.70248	TCEB3
ENSG00000057757	1	24104895	24114722	19	12	605198	0.3598	0.3595	PITHD1
ENSG00000011009	1	24117460	24122029	7	4	578365	-1.049	0.85291	LYPLA2
ENSG00000117308	1	24122089	24127271	5	3	606116	-1.6516	0.9507	GALE
ENSG00000117305	1	24128375	24165110	74	15	591883	-1.1752	0.88005	HMGCL
ENSG00000179163	1	24171567	24194784	56	14	608684	-1.4572	0.92747	FUCA1
ENSG00000188822	1	24197016	24285549	306	28	590372	-0.7109	0.76143	CNR2
ENSG00000189266	1	24285599	24289952	5	2	632802	0.33334	0.36944	PNRC2
ENSG00000188529	1	24291294	24307417	6	2	593134	0.62721	0.26526	SRSF10
ENSG00000142661	1	24382525	24438665	259	34	609904	-0.4029	0.65649	MYOM3
ENSG00000142677	1	24446261	24469611	98	27	609875	0.37898	0.35235	IL22RA1
ENSG00000185436	1	24480647	24514449	169	32	610640	1.1731	0.12038	IFNLR1
ENSG00000158055	1	24645812	24690972	163	46	606112	-1.345	0.91069	GRHL3
ENSG00000001460	1	24683489	24743424	210	31	617636	-0.15914	0.56322	STPG1
ENSG00000001461	1	24742284	24799466	263	35	602254	-0.35956	0.64041	NIPAL3
ENSG00000117602	1	24829387	24867530	156	27	605359	1.181	0.1188	RCAN3
ENSG00000184454	1	24882602	24935819	273	37	616833	1.3689	0.08552	NCMAP
ENSG00000133226	1	24958207	24999758	79	24	601832	-0.35727	0.63956	SRRM1
ENSG00000169504	1	25071848	25170815	190	42	600765	2.0076	0.022341	CLIC4
ENSG00000020633	1	25226002	25291612	220	59	600636	-0.1553	0.56171	RUNX3
ENSG00000117614	1	25549170	25558993	17	10	580261	0.44684	0.3275	SYF2
ENSG00000117616	1	25568728	25664704	166	41	559371	0.46633	0.32049	C1orf63
ENSG00000187010	1	25598884	25656936	71	28	566761	0.070904	0.47174	RHD
ENSG00000183726	1	25664408	25688852	79	21	576132	0.038843	0.48451	TMEM50A
ENSG00000188672	1	25688740	25756683	184	28	574686	1.0421	0.14868	RHCE
ENSG00000204178	1	25757388	25826700	191	20	599535	1.6271	0.051858	TMEM57
ENSG00000157978	1	25870071	25895377	104	21	601504	-0.67787	0.75107	LDLRAP1
ENSG00000117643	1	25943959	26112698	505	51	609879	0.11222	0.45532	MAN1C1
ENSG00000162430	1	26126667	26144713	62	11	616044	0.29007	0.38588	SEPN1
ENSG00000255054	1	26137961	26150235	46	9	618926	0.069419	0.47233	RP1-317E23.6
