# MEAN_SAMPLE_SIZE = 19873
# TOTAL_GENES = 18912
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_drug_...2         SET      51      0.37955     0.019684      0.15337    0.0066723 Curated_gene_sets:kegg_drug_metabolism_other_enzymes
Curated_gene_sets:kegg_biosy...          SET      22     -0.12397   -0.0042258      0.19418      0.73839 Curated_gene_sets:kegg_biosynthesis_of_unsaturated_fatty_acids
Curated_gene_sets:kegg_abc_t...          SET      40     -0.19552   -0.0089828      0.15973      0.88954 Curated_gene_sets:kegg_abc_transporters
Curated_gene_sets:kegg_ribos...          SET      81     0.011262   0.00073545     0.094359       0.4525 Curated_gene_sets:kegg_ribosome
Curated_gene_sets:kegg_rna_d...          SET      55     0.072601    0.0039096      0.12454      0.27996 Curated_gene_sets:kegg_rna_degradation
Curated_gene_sets:kegg_rna_p...          SET      27      0.15753    0.0059483      0.15996      0.16235 Curated_gene_sets:kegg_rna_polymerase
Curated_gene_sets:kegg_basal...2         SET      30      0.30139     0.011995      0.17161     0.039532 Curated_gene_sets:kegg_basal_transcription_factors
Curated_gene_sets:kegg_dna_r...          SET      34    -0.025242   -0.0010693      0.14634      0.56847 Curated_gene_sets:kegg_dna_replication
Curated_gene_sets:kegg_splic...          SET     116    -0.021744   -0.0016978     0.076051      0.61253 Curated_gene_sets:kegg_spliceosome
Curated_gene_sets:kegg_prote...1         SET      45     0.078573    0.0038283      0.11955      0.25552 Curated_gene_sets:kegg_proteasome
Curated_gene_sets:kegg_prote...2         SET      23      0.17928    0.0062486      0.18699      0.16884 Curated_gene_sets:kegg_protein_export
Curated_gene_sets:kegg_ppar_...          SET      66   -0.0077233  -0.00045547      0.11215      0.52745 Curated_gene_sets:kegg_ppar_signaling_pathway
Curated_gene_sets:kegg_base_...          SET      32     0.097218    0.0039957      0.14523      0.25162 Curated_gene_sets:kegg_base_excision_repair
Curated_gene_sets:kegg_nucle...          SET      40     0.020701   0.00095104      0.13565      0.43936 Curated_gene_sets:kegg_nucleotide_excision_repair
Curated_gene_sets:kegg_misma...          SET      22     -0.16085   -0.0054832      0.19285      0.79787 Curated_gene_sets:kegg_mismatch_repair
Curated_gene_sets:kegg_homol...          SET      28    -0.075036   -0.0028851      0.15883      0.68168 Curated_gene_sets:kegg_homologous_recombination
Curated_gene_sets:kegg_non_h...          SET      13       0.1474    0.0038633      0.21258      0.24404 Curated_gene_sets:kegg_non_homologous_end_joining
Curated_gene_sets:kegg_mapk_...          SET     252     0.076832    0.0088099     0.059044     0.096593 Curated_gene_sets:kegg_mapk_signaling_pathway
Curated_gene_sets:kegg_erbb_...          SET      86     0.081853    0.0055072       0.1069      0.22193 Curated_gene_sets:kegg_erbb_signaling_pathway
Curated_gene_sets:kegg_calci...          SET     168     0.085463    0.0080194      0.07506      0.12744 Curated_gene_sets:kegg_calcium_signaling_pathway
Curated_gene_sets:kegg_cytok...          SET     248    -0.092948    -0.010574      0.06595      0.92063 Curated_gene_sets:kegg_cytokine_cytokine_receptor_interaction
Curated_gene_sets:kegg_chemo...          SET     183    -0.017647   -0.0017275     0.071276      0.59777 Curated_gene_sets:kegg_chemokine_signaling_pathway
Curated_gene_sets:kegg_phosp...          SET      76     0.098552    0.0062351      0.10757      0.17979 Curated_gene_sets:kegg_phosphatidylinositol_signaling_system
Curated_gene_sets:kegg_neuro...1         SET     254      0.13572     0.015623     0.064713     0.017991 Curated_gene_sets:kegg_neuroactive_ligand_receptor_interaction
Curated_gene_sets:kegg_cell_...2         SET     122      0.03448    0.0027604      0.07926      0.33178 Curated_gene_sets:kegg_cell_cycle
Curated_gene_sets:kegg_oocyt...          SET     107      0.05092    0.0038194     0.085559      0.27587 Curated_gene_sets:kegg_oocyte_meiosis
Curated_gene_sets:kegg_p53_s...          SET      67     -0.12646   -0.0075141       0.1181      0.85787 Curated_gene_sets:kegg_p53_signaling_pathway
Curated_gene_sets:kegg_ubiqu...          SET     126     0.024881    0.0020242     0.077946      0.37479 Curated_gene_sets:kegg_ubiquitin_mediated_proteolysis
Curated_gene_sets:kegg_snare...          SET      36    -0.018305  -0.00079789      0.14772      0.54931 Curated_gene_sets:kegg_snare_interactions_in_vesicular_transport
Curated_gene_sets:kegg_regul...2         SET      32       0.1667    0.0068514      0.16186      0.15153 Curated_gene_sets:kegg_regulation_of_autophagy
Curated_gene_sets:kegg_lysos...          SET     115     0.061921     0.004814     0.085594      0.23471 Curated_gene_sets:kegg_lysosome
Curated_gene_sets:kegg_endoc...          SET     169    -0.074613   -0.0070219     0.070155      0.85623 Curated_gene_sets:kegg_endocytosis
Curated_gene_sets:kegg_perox...          SET      76    -0.033309   -0.0021073      0.10221      0.62775 Curated_gene_sets:kegg_peroxisome
Curated_gene_sets:kegg_mtor_...          SET      50      0.15638    0.0080306      0.12823      0.11133 Curated_gene_sets:kegg_mtor_signaling_pathway
Curated_gene_sets:kegg_apopt...          SET      80    -0.047531   -0.0030849      0.10709      0.67142 Curated_gene_sets:kegg_apoptosis
Curated_gene_sets:kegg_cardi...          SET      69     -0.12381   -0.0074652      0.11259      0.86426 Curated_gene_sets:kegg_cardiac_muscle_contraction
Curated_gene_sets:kegg_vascu...          SET     112    -0.087732   -0.0067316      0.09171      0.83061 Curated_gene_sets:kegg_vascular_smooth_muscle_contraction
Curated_gene_sets:kegg_wnt_s...          SET     145    -0.051153    -0.004462     0.080978       0.7362 Curated_gene_sets:kegg_wnt_signaling_pathway
Curated_gene_sets:kegg_dorso...          SET      23      0.02261   0.00078805      0.20681      0.45647 Curated_gene_sets:kegg_dorso_ventral_axis_formation
Curated_gene_sets:kegg_notch...          SET      46      0.10694    0.0052678      0.13238       0.2096 Curated_gene_sets:kegg_notch_signaling_pathway
Curated_gene_sets:kegg_hedge...          SET      55    -0.033739   -0.0018169      0.13268      0.60036 Curated_gene_sets:kegg_hedgehog_signaling_pathway
Curated_gene_sets:kegg_tgf_b...          SET      85     0.012548   0.00083934      0.10595      0.45286 Curated_gene_sets:kegg_tgf_beta_signaling_pathway
Curated_gene_sets:kegg_axon_...          SET     124      0.27633     0.022303     0.089244   0.00098112 Curated_gene_sets:kegg_axon_guidance
Curated_gene_sets:kegg_vegf_...          SET      77      0.14716    0.0093708      0.10733      0.08518 Curated_gene_sets:kegg_vegf_signaling_pathway
Curated_gene_sets:kegg_focal...          SET     192    -0.017041   -0.0017083        0.072      0.59355 Curated_gene_sets:kegg_focal_adhesion
Curated_gene_sets:kegg_ecm_r...          SET      82    -0.067889   -0.0044607      0.11295      0.72609 Curated_gene_sets:kegg_ecm_receptor_interaction
Curated_gene_sets:kegg_cell_...1         SET     106    0.0059389   0.00044339      0.10087      0.47653 Curated_gene_sets:kegg_cell_adhesion_molecules_cams
Curated_gene_sets:kegg_adher...          SET      70       0.0118    0.0007166      0.11659      0.45969 Curated_gene_sets:kegg_adherens_junction
Curated_gene_sets:kegg_tight...          SET     128    -0.041894    -0.003435     0.088004      0.68298 Curated_gene_sets:kegg_tight_junction
Curated_gene_sets:kegg_gap_j...          SET      87      0.11439    0.0077407      0.10577      0.13974 Curated_gene_sets:kegg_gap_junction
Curated_gene_sets:kegg_compl...          SET      63    0.0074506   0.00042932      0.12352      0.47595 Curated_gene_sets:kegg_complement_and_coagulation_cascades
Curated_gene_sets:kegg_antig...          SET      56    -0.033811   -0.0018372      0.13435      0.59935 Curated_gene_sets:kegg_antigen_processing_and_presentation
Curated_gene_sets:kegg_renin...          SET      16     -0.20957   -0.0060931       0.2249      0.82428 Curated_gene_sets:kegg_renin_angiotensin_system
Curated_gene_sets:kegg_toll_...          SET      99      -0.0708   -0.0051092     0.098557      0.76373 Curated_gene_sets:kegg_toll_like_receptor_signaling_pathway
Curated_gene_sets:kegg_nod_l...          SET      58      0.15609    0.0086313      0.11954     0.095819 Curated_gene_sets:kegg_nod_like_receptor_signaling_pathway
Curated_gene_sets:kegg_rig_i...          SET      65     -0.21799    -0.012758      0.11481      0.97119 Curated_gene_sets:kegg_rig_i_like_receptor_signaling_pathway
Curated_gene_sets:kegg_cytos...          SET      52     0.035524    0.0018602      0.12285      0.38623 Curated_gene_sets:kegg_cytosolic_dna_sensing_pathway
Curated_gene_sets:kegg_jak_s...          SET     148     -0.14846    -0.013082      0.08417      0.96111 Curated_gene_sets:kegg_jak_stat_signaling_pathway
Curated_gene_sets:kegg_hemat...          SET      79     -0.25071     -0.01617      0.11346      0.98643 Curated_gene_sets:kegg_hematopoietic_cell_lineage
Curated_gene_sets:kegg_natur...          SET     122     0.060683    0.0048583     0.092964      0.25696 Curated_gene_sets:kegg_natural_killer_cell_mediated_cytotoxicity
Curated_gene_sets:kegg_t_cel...          SET     104     0.054963    0.0040647     0.092423      0.27603 Curated_gene_sets:kegg_t_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_b_cel...          SET      74      0.11401    0.0071179      0.11283      0.15614 Curated_gene_sets:kegg_b_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_fc_ep...          SET      78     0.030851    0.0019772      0.10678      0.38632 Curated_gene_sets:kegg_fc_epsilon_ri_signaling_pathway
Curated_gene_sets:kegg_fc_ga...          SET      95     -0.02752   -0.0019456     0.098205      0.61035 Curated_gene_sets:kegg_fc_gamma_r_mediated_phagocytosis
Curated_gene_sets:kegg_leuko...          SET     110     0.094011    0.0071491     0.094012      0.15867 Curated_gene_sets:kegg_leukocyte_transendothelial_migration
Curated_gene_sets:kegg_intes...          SET      32    0.0086005   0.00035349      0.15775      0.47826 Curated_gene_sets:kegg_intestinal_immune_network_for_iga_production
Curated_gene_sets:kegg_circa...          SET      13     -0.33307   -0.0087298       0.2926       0.8725 Curated_gene_sets:kegg_circadian_rhythm_mammal
Curated_gene_sets:kegg_long_...2         SET      66     0.051658    0.0030464      0.11444      0.32586 Curated_gene_sets:kegg_long_term_potentiation
Curated_gene_sets:kegg_neuro...2         SET     121      0.14486      0.01155     0.086026     0.046108 Curated_gene_sets:kegg_neurotrophin_signaling_pathway
Curated_gene_sets:kegg_long_...1         SET      68     -0.13121   -0.0078539      0.11791      0.86709 Curated_gene_sets:kegg_long_term_depression
Curated_gene_sets:kegg_olfac...          SET     366    -0.068822   -0.0094813      0.06779      0.84499 Curated_gene_sets:kegg_olfactory_transduction
Curated_gene_sets:kegg_taste...          SET      49      0.20784     0.010566       0.1527     0.086754 Curated_gene_sets:kegg_taste_transduction
Curated_gene_sets:kegg_regul...1         SET     201    -0.086881   -0.0089094      0.06808      0.89904 Curated_gene_sets:kegg_regulation_of_actin_cytoskeleton
Curated_gene_sets:kegg_insul...          SET     131     0.030947    0.0025668     0.082347      0.35353 Curated_gene_sets:kegg_insulin_signaling_pathway
Curated_gene_sets:kegg_gnrh_...          SET      98      0.13604    0.0097676     0.096522     0.079367 Curated_gene_sets:kegg_gnrh_signaling_pathway
Curated_gene_sets:kegg_proge...          SET      81    -0.012654  -0.00082637     0.097128      0.55183 Curated_gene_sets:kegg_progesterone_mediated_oocyte_maturation
Curated_gene_sets:kegg_melan...1         SET     100      0.14515     0.010527     0.097651     0.068595 Curated_gene_sets:kegg_melanogenesis
Curated_gene_sets:kegg_adipo...          SET      62      0.01485    0.0008489      0.11948      0.45055 Curated_gene_sets:kegg_adipocytokine_signaling_pathway
Curated_gene_sets:kegg_type_...2         SET      46   0.00043843   2.1597e-05      0.14418      0.49879 Curated_gene_sets:kegg_type_ii_diabetes_mellitus
Curated_gene_sets:kegg_type_...1         SET      21    -0.034198    -0.001139      0.21567      0.56299 Curated_gene_sets:kegg_type_i_diabetes_mellitus
Curated_gene_sets:kegg_matur...          SET      25     0.048612    0.0017663      0.19168       0.3999 Curated_gene_sets:kegg_maturity_onset_diabetes_of_the_young
Curated_gene_sets:kegg_aldos...          SET      41     -0.19734   -0.0091786      0.15141      0.90376 Curated_gene_sets:kegg_aldosterone_regulated_sodium_reabsorption
Curated_gene_sets:kegg_vasop...          SET      42      0.14647    0.0068951       0.1265      0.12347 Curated_gene_sets:kegg_vasopressin_regulated_water_reabsorption
Curated_gene_sets:kegg_proxi...          SET      22     -0.21365    -0.007283      0.21563      0.83911 Curated_gene_sets:kegg_proximal_tubule_bicarbonate_reclamation
Curated_gene_sets:kegg_alzhe...          SET     155    -0.037939   -0.0034207     0.072789      0.69889 Curated_gene_sets:kegg_alzheimers_disease
Curated_gene_sets:kegg_parki...          SET     111    -0.045139   -0.0034481     0.082561      0.70772 Curated_gene_sets:kegg_parkinsons_disease
Curated_gene_sets:kegg_amyot...          SET      51    -0.005843  -0.00030302      0.12888      0.51808 Curated_gene_sets:kegg_amyotrophic_lateral_sclerosis_als
Curated_gene_sets:kegg_hunti...          SET     170     0.019862    0.0018747     0.068174      0.38539 Curated_gene_sets:kegg_huntingtons_disease
Curated_gene_sets:kegg_prion...          SET      32      0.40928     0.016822       0.1721    0.0087032 Curated_gene_sets:kegg_prion_diseases
Curated_gene_sets:kegg_vibri...          SET      51     -0.08237   -0.0042718      0.13611      0.72746 Curated_gene_sets:kegg_vibrio_cholerae_infection
Curated_gene_sets:kegg_epith...          SET      64      0.15666    0.0090979      0.11615     0.088729 Curated_gene_sets:kegg_epithelial_cell_signaling_in_helicobacter_pylori_infection
Curated_gene_sets:kegg_patho...          SET      54   -0.0019689  -0.00010506      0.12417      0.50633 Curated_gene_sets:kegg_pathogenic_escherichia_coli_infection
Curated_gene_sets:kegg_leish...          SET      54    -0.073666   -0.0039309      0.13913      0.70176 Curated_gene_sets:kegg_leishmania_infection
Curated_gene_sets:kegg_pathw...          SET     316    -0.078147    -0.010017     0.055685      0.91974 Curated_gene_sets:kegg_pathways_in_cancer
Curated_gene_sets:kegg_color...          SET      62    -0.020739   -0.0011855        0.132      0.56242 Curated_gene_sets:kegg_colorectal_cancer
Curated_gene_sets:kegg_renal...          SET      68     0.057085     0.003417      0.12152      0.31927 Curated_gene_sets:kegg_renal_cell_carcinoma
Curated_gene_sets:kegg_pancr...          SET      67     -0.15093   -0.0089678      0.11818      0.89921 Curated_gene_sets:kegg_pancreatic_cancer
Curated_gene_sets:kegg_endom...          SET      51    -0.020649   -0.0010709      0.13495       0.5608 Curated_gene_sets:kegg_endometrial_cancer
Curated_gene_sets:kegg_glioma            SET      65    -0.051647   -0.0030227      0.12091      0.66536 Curated_gene_sets:kegg_glioma
Curated_gene_sets:kegg_prost...          SET      86     0.057284    0.0038542      0.10397      0.29083 Curated_gene_sets:kegg_prostate_cancer
Curated_gene_sets:kegg_thyro...          SET      28    -0.084116   -0.0032343      0.17673      0.68295 Curated_gene_sets:kegg_thyroid_cancer
Curated_gene_sets:kegg_basal...1         SET      55      -0.0383   -0.0020625      0.13096      0.61503 Curated_gene_sets:kegg_basal_cell_carcinoma
Curated_gene_sets:kegg_melan...2         SET      69    -0.090947   -0.0054835      0.11969      0.77633 Curated_gene_sets:kegg_melanoma
Curated_gene_sets:kegg_bladd...          SET      40      -0.1174   -0.0053936      0.14405      0.79245 Curated_gene_sets:kegg_bladder_cancer
Curated_gene_sets:kegg_chron...          SET      72     -0.14765   -0.0090931      0.11443      0.90152 Curated_gene_sets:kegg_chronic_myeloid_leukemia
Curated_gene_sets:kegg_acute...          SET      55    -0.018473  -0.00099478      0.12837      0.55721 Curated_gene_sets:kegg_acute_myeloid_leukemia
Curated_gene_sets:kegg_small...          SET      81   -0.0073085  -0.00047729      0.10889      0.52676 Curated_gene_sets:kegg_small_cell_lung_cancer
Curated_gene_sets:kegg_non_s...          SET      53    -0.051409   -0.0027177      0.13093      0.65271 Curated_gene_sets:kegg_non_small_cell_lung_cancer
Curated_gene_sets:kegg_asthma            SET      14     -0.23728   -0.0064537      0.25549      0.82348 Curated_gene_sets:kegg_asthma
Curated_gene_sets:kegg_autoi...          SET      30    -0.059996   -0.0023877      0.18503      0.62712 Curated_gene_sets:kegg_autoimmune_thyroid_disease
Curated_gene_sets:kegg_syste...          SET      94     0.048627    0.0034198      0.10734      0.32527 Curated_gene_sets:kegg_systemic_lupus_erythematosus
Curated_gene_sets:kegg_allog...          SET      15     -0.20489   -0.0057681      0.25763      0.78676 Curated_gene_sets:kegg_allograft_rejection
Curated_gene_sets:kegg_graft...          SET      18     0.033564     0.001035      0.23387      0.44294 Curated_gene_sets:kegg_graft_versus_host_disease
Curated_gene_sets:kegg_prima...2         SET      29     -0.14944   -0.0058474      0.18631      0.78874 Curated_gene_sets:kegg_primary_immunodeficiency
Curated_gene_sets:kegg_hyper...          SET      81     -0.22416    -0.014639       0.1092      0.97994 Curated_gene_sets:kegg_hypertrophic_cardiomyopathy_hcm
Curated_gene_sets:kegg_arrhy...          SET      71     -0.20816    -0.012731      0.12459       0.9526 Curated_gene_sets:kegg_arrhythmogenic_right_ventricular_cardiomyopathy_arvc
Curated_gene_sets:kegg_dilat...          SET      86     -0.15433    -0.010384      0.10691      0.92556 Curated_gene_sets:kegg_dilated_cardiomyopathy
Curated_gene_sets:kegg_viral...          SET      48    -0.031277   -0.0015737      0.15125      0.58191 Curated_gene_sets:kegg_viral_myocarditis
