# MEAN_SAMPLE_SIZE = 20942
# TOTAL_GENES = 18912
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_abc_t...          SET      40      0.17536    0.0080565      0.14915      0.11985 Curated_gene_sets:kegg_abc_transporters
Curated_gene_sets:kegg_ribos...          SET      81    -0.021773   -0.0014219     0.088032      0.59767 Curated_gene_sets:kegg_ribosome
Curated_gene_sets:kegg_rna_d...          SET      55    -0.037016   -0.0019934      0.11648      0.62467 Curated_gene_sets:kegg_rna_degradation
Curated_gene_sets:kegg_rna_p...          SET      27    0.0022121   8.3527e-05      0.14583      0.49395 Curated_gene_sets:kegg_rna_polymerase
Curated_gene_sets:kegg_basal...2         SET      30     -0.10047   -0.0039984      0.15939      0.73575 Curated_gene_sets:kegg_basal_transcription_factors
Curated_gene_sets:kegg_dna_r...          SET      34      0.11393    0.0048264      0.14033      0.20845 Curated_gene_sets:kegg_dna_replication
Curated_gene_sets:kegg_splic...          SET     116    -0.045221   -0.0035308      0.07129      0.73706 Curated_gene_sets:kegg_spliceosome
Curated_gene_sets:kegg_prote...1         SET      45    -0.047821     -0.00233      0.11171       0.6657 Curated_gene_sets:kegg_proteasome
Curated_gene_sets:kegg_prote...2         SET      23     -0.20443   -0.0071251      0.17087      0.88423 Curated_gene_sets:kegg_protein_export
Curated_gene_sets:kegg_ppar_...          SET      66     0.041382    0.0024404      0.10433      0.34581 Curated_gene_sets:kegg_ppar_signaling_pathway
Curated_gene_sets:kegg_base_...          SET      32      0.11153    0.0045839      0.14002      0.21286 Curated_gene_sets:kegg_base_excision_repair
Curated_gene_sets:kegg_nucle...          SET      40    0.0085514   0.00039287      0.12941      0.47366 Curated_gene_sets:kegg_nucleotide_excision_repair
Curated_gene_sets:kegg_misma...          SET      22    -0.070743   -0.0024115      0.18464      0.64919 Curated_gene_sets:kegg_mismatch_repair
Curated_gene_sets:kegg_homol...          SET      28     -0.25462   -0.0097901      0.14637      0.95902 Curated_gene_sets:kegg_homologous_recombination
Curated_gene_sets:kegg_non_h...          SET      13     -0.23306   -0.0061084      0.21976      0.85554 Curated_gene_sets:kegg_non_homologous_end_joining
Curated_gene_sets:kegg_mapk_...          SET     252     0.028677    0.0032882     0.055317      0.30209 Curated_gene_sets:kegg_mapk_signaling_pathway
Curated_gene_sets:kegg_erbb_...          SET      86     0.078255    0.0052652     0.097574      0.21128 Curated_gene_sets:kegg_erbb_signaling_pathway
Curated_gene_sets:kegg_calci...          SET     168      0.10647    0.0099903     0.069597     0.063044 Curated_gene_sets:kegg_calcium_signaling_pathway
Curated_gene_sets:kegg_cytok...          SET     248    -0.028441   -0.0032356     0.061305      0.67865 Curated_gene_sets:kegg_cytokine_cytokine_receptor_interaction
Curated_gene_sets:kegg_chemo...          SET     183    -0.025799   -0.0025256      0.06646      0.65106 Curated_gene_sets:kegg_chemokine_signaling_pathway
Curated_gene_sets:kegg_phosp...          SET      76   -0.0069525  -0.00043986     0.098805      0.52805 Curated_gene_sets:kegg_phosphatidylinositol_signaling_system
Curated_gene_sets:kegg_neuro...1         SET     254      0.15081      0.01736     0.060519    0.0063563 Curated_gene_sets:kegg_neuroactive_ligand_receptor_interaction
Curated_gene_sets:kegg_cell_...2         SET     122      0.15458     0.012376     0.073652     0.017922 Curated_gene_sets:kegg_cell_cycle
Curated_gene_sets:kegg_oocyt...          SET     107     0.056478    0.0042363     0.079682      0.23923 Curated_gene_sets:kegg_oocyte_meiosis
Curated_gene_sets:kegg_p53_s...          SET      67    -0.006255  -0.00037165      0.11191      0.52229 Curated_gene_sets:kegg_p53_signaling_pathway
Curated_gene_sets:kegg_ubiqu...          SET     126      0.15967      0.01299     0.072132     0.013436 Curated_gene_sets:kegg_ubiquitin_mediated_proteolysis
Curated_gene_sets:kegg_snare...          SET      36    -0.023098   -0.0010068      0.13882      0.56607 Curated_gene_sets:kegg_snare_interactions_in_vesicular_transport
Curated_gene_sets:kegg_regul...2         SET      32     -0.12331   -0.0050681      0.15112      0.79274 Curated_gene_sets:kegg_regulation_of_autophagy
Curated_gene_sets:kegg_lysos...          SET     115     -0.13373    -0.010396      0.07982      0.95306 Curated_gene_sets:kegg_lysosome
Curated_gene_sets:kegg_endoc...          SET     169      0.22309     0.020995     0.065867   0.00035409 Curated_gene_sets:kegg_endocytosis
Curated_gene_sets:kegg_perox...          SET      76      0.13499    0.0085404     0.093109     0.073563 Curated_gene_sets:kegg_peroxisome
Curated_gene_sets:kegg_mtor_...          SET      50      0.12348     0.006341      0.11746      0.14658 Curated_gene_sets:kegg_mtor_signaling_pathway
Curated_gene_sets:kegg_apopt...          SET      80    -0.013609  -0.00088325      0.10024        0.554 Curated_gene_sets:kegg_apoptosis
Curated_gene_sets:kegg_cardi...          SET      69     0.051087    0.0030802      0.10578      0.31457 Curated_gene_sets:kegg_cardiac_muscle_contraction
Curated_gene_sets:kegg_vascu...          SET     112    -0.069422   -0.0053267     0.085306      0.79211 Curated_gene_sets:kegg_vascular_smooth_muscle_contraction
Curated_gene_sets:kegg_wnt_s...          SET     145    -0.022283   -0.0019437     0.075144      0.61659 Curated_gene_sets:kegg_wnt_signaling_pathway
Curated_gene_sets:kegg_dorso...          SET      23      0.14001    0.0048799      0.19274       0.2338 Curated_gene_sets:kegg_dorso_ventral_axis_formation
Curated_gene_sets:kegg_notch...          SET      46     -0.16419   -0.0080879        0.123      0.90904 Curated_gene_sets:kegg_notch_signaling_pathway
Curated_gene_sets:kegg_hedge...          SET      55     0.015167   0.00081677      0.12044      0.44989 Curated_gene_sets:kegg_hedgehog_signaling_pathway
Curated_gene_sets:kegg_tgf_b...          SET      85      0.12676    0.0084789     0.099483      0.10132 Curated_gene_sets:kegg_tgf_beta_signaling_pathway
Curated_gene_sets:kegg_axon_...          SET     124      0.19855     0.016025     0.082962    0.0083536 Curated_gene_sets:kegg_axon_guidance
Curated_gene_sets:kegg_vegf_...          SET      77    -0.027496   -0.0017509     0.097748      0.61076 Curated_gene_sets:kegg_vegf_signaling_pathway
Curated_gene_sets:kegg_focal...          SET     192    0.0050148   0.00050273     0.066314      0.46986 Curated_gene_sets:kegg_focal_adhesion
Curated_gene_sets:kegg_ecm_r...          SET      82    0.0097257   0.00063904       0.1046      0.46296 Curated_gene_sets:kegg_ecm_receptor_interaction
Curated_gene_sets:kegg_cell_...1         SET     106      0.14626     0.010919      0.09199     0.055932 Curated_gene_sets:kegg_cell_adhesion_molecules_cams
Curated_gene_sets:kegg_adher...          SET      70   -0.0052906  -0.00032129      0.11063      0.51907 Curated_gene_sets:kegg_adherens_junction
Curated_gene_sets:kegg_tight...          SET     128    -0.021903   -0.0017958     0.081366      0.60611 Curated_gene_sets:kegg_tight_junction
Curated_gene_sets:kegg_gap_j...          SET      87      0.16658     0.011273     0.098085     0.044731 Curated_gene_sets:kegg_gap_junction
Curated_gene_sets:kegg_compl...          SET      63     -0.15092   -0.0086965      0.11434      0.90656 Curated_gene_sets:kegg_complement_and_coagulation_cascades
Curated_gene_sets:kegg_antig...          SET      56     0.017431   0.00094715        0.125      0.44455 Curated_gene_sets:kegg_antigen_processing_and_presentation
Curated_gene_sets:kegg_renin...          SET      16     0.090781    0.0026394      0.20984      0.33265 Curated_gene_sets:kegg_renin_angiotensin_system
Curated_gene_sets:kegg_toll_...          SET      99    -0.027837   -0.0020089     0.091754       0.6192 Curated_gene_sets:kegg_toll_like_receptor_signaling_pathway
Curated_gene_sets:kegg_nod_l...          SET      58     0.047188    0.0026093      0.11426       0.3398 Curated_gene_sets:kegg_nod_like_receptor_signaling_pathway
Curated_gene_sets:kegg_rig_i...          SET      65     0.020036    0.0011726      0.10985      0.42764 Curated_gene_sets:kegg_rig_i_like_receptor_signaling_pathway
Curated_gene_sets:kegg_cytos...          SET      52    -0.098854   -0.0051765      0.11759      0.79972 Curated_gene_sets:kegg_cytosolic_dna_sensing_pathway
Curated_gene_sets:kegg_jak_s...          SET     148    0.0040674   0.00035842     0.077374      0.47904 Curated_gene_sets:kegg_jak_stat_signaling_pathway
Curated_gene_sets:kegg_hemat...          SET      79    -0.013632  -0.00087923      0.10592       0.5512 Curated_gene_sets:kegg_hematopoietic_cell_lineage
Curated_gene_sets:kegg_natur...          SET     122     0.029451    0.0023578     0.085241      0.36486 Curated_gene_sets:kegg_natural_killer_cell_mediated_cytotoxicity
Curated_gene_sets:kegg_t_cel...          SET     104     0.034167    0.0025268     0.086356      0.34618 Curated_gene_sets:kegg_t_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_b_cel...          SET      74     0.046688    0.0029148      0.10492      0.32816 Curated_gene_sets:kegg_b_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_fc_ep...          SET      78  -0.00097241  -6.2322e-05     0.097488      0.50398 Curated_gene_sets:kegg_fc_epsilon_ri_signaling_pathway
Curated_gene_sets:kegg_fc_ga...          SET      95     0.085325    0.0060324     0.090284      0.17232 Curated_gene_sets:kegg_fc_gamma_r_mediated_phagocytosis
Curated_gene_sets:kegg_leuko...          SET     110    0.0044881    0.0003413     0.086608      0.47934 Curated_gene_sets:kegg_leukocyte_transendothelial_migration
Curated_gene_sets:kegg_intes...          SET      32     -0.13975   -0.0057439      0.14733      0.82857 Curated_gene_sets:kegg_intestinal_immune_network_for_iga_production
Curated_gene_sets:kegg_circa...          SET      13     -0.24144   -0.0063282      0.24498      0.83782 Curated_gene_sets:kegg_circadian_rhythm_mammal
Curated_gene_sets:kegg_long_...2         SET      66      0.15374    0.0090667      0.10755     0.076441 Curated_gene_sets:kegg_long_term_potentiation
Curated_gene_sets:kegg_neuro...2         SET     121   -0.0042794  -0.00034121     0.078644       0.5217 Curated_gene_sets:kegg_neurotrophin_signaling_pathway
Curated_gene_sets:kegg_long_...1         SET      68  -0.00069829  -4.1798e-05      0.11039      0.50252 Curated_gene_sets:kegg_long_term_depression
Curated_gene_sets:kegg_olfac...          SET     366     0.037142    0.0051169     0.063178       0.2783 Curated_gene_sets:kegg_olfactory_transduction
Curated_gene_sets:kegg_taste...          SET      49      0.11241    0.0057146      0.14141      0.21334 Curated_gene_sets:kegg_taste_transduction
Curated_gene_sets:kegg_regul...1         SET     201     0.052964    0.0054313      0.06311      0.20067 Curated_gene_sets:kegg_regulation_of_actin_cytoskeleton
Curated_gene_sets:kegg_insul...          SET     131     0.045007    0.0037329     0.075798      0.27634 Curated_gene_sets:kegg_insulin_signaling_pathway
Curated_gene_sets:kegg_gnrh_...          SET      98     0.063341    0.0045479      0.08967      0.23998 Curated_gene_sets:kegg_gnrh_signaling_pathway
Curated_gene_sets:kegg_proge...          SET      81      0.10308    0.0067315     0.088596      0.12233 Curated_gene_sets:kegg_progesterone_mediated_oocyte_maturation
Curated_gene_sets:kegg_melan...1         SET     100   -0.0091344  -0.00066248     0.090739      0.54009 Curated_gene_sets:kegg_melanogenesis
Curated_gene_sets:kegg_adipo...          SET      62     -0.13336   -0.0076232      0.11421      0.87852 Curated_gene_sets:kegg_adipocytokine_signaling_pathway
Curated_gene_sets:kegg_type_...2         SET      46     0.039496    0.0019456      0.12858      0.37936 Curated_gene_sets:kegg_type_ii_diabetes_mellitus
Curated_gene_sets:kegg_type_...1         SET      21     -0.17024   -0.0056699      0.20046      0.80213 Curated_gene_sets:kegg_type_i_diabetes_mellitus
Curated_gene_sets:kegg_matur...          SET      25     -0.23881    -0.008677      0.17887      0.90907 Curated_gene_sets:kegg_maturity_onset_diabetes_of_the_young
Curated_gene_sets:kegg_aldos...          SET      41      0.19791     0.009205      0.13515      0.07155 Curated_gene_sets:kegg_aldosterone_regulated_sodium_reabsorption
Curated_gene_sets:kegg_vasop...          SET      42     -0.20415   -0.0096102      0.11956      0.95613 Curated_gene_sets:kegg_vasopressin_regulated_water_reabsorption
Curated_gene_sets:kegg_proxi...          SET      22      0.28085    0.0095738      0.20139     0.081579 Curated_gene_sets:kegg_proximal_tubule_bicarbonate_reclamation
Curated_gene_sets:kegg_alzhe...          SET     155      0.13624     0.012284     0.067786     0.022228 Curated_gene_sets:kegg_alzheimers_disease
Curated_gene_sets:kegg_parki...          SET     111      0.19572      0.01495     0.077363    0.0057104 Curated_gene_sets:kegg_parkinsons_disease
Curated_gene_sets:kegg_amyot...          SET      51     0.060717    0.0031488      0.12244      0.30999 Curated_gene_sets:kegg_amyotrophic_lateral_sclerosis_als
Curated_gene_sets:kegg_hunti...          SET     170      0.12211     0.011526     0.063023     0.026343 Curated_gene_sets:kegg_huntingtons_disease
Curated_gene_sets:kegg_prion...          SET      32      0.24131    0.0099181      0.15706      0.06223 Curated_gene_sets:kegg_prion_diseases
Curated_gene_sets:kegg_vibri...          SET      51     -0.22935    -0.011894      0.12644      0.96514 Curated_gene_sets:kegg_vibrio_cholerae_infection
Curated_gene_sets:kegg_epith...          SET      64    -0.057081    -0.003315        0.111      0.69645 Curated_gene_sets:kegg_epithelial_cell_signaling_in_helicobacter_pylori_infection
Curated_gene_sets:kegg_patho...          SET      54       0.2623     0.013996      0.11711     0.012556 Curated_gene_sets:kegg_pathogenic_escherichia_coli_infection
Curated_gene_sets:kegg_leish...          SET      54     0.011096   0.00059207      0.12991      0.46597 Curated_gene_sets:kegg_leishmania_infection
Curated_gene_sets:kegg_pathw...          SET     316    -0.011747   -0.0015058     0.051635      0.58998 Curated_gene_sets:kegg_pathways_in_cancer
Curated_gene_sets:kegg_color...          SET      62      0.27181     0.015538      0.11802     0.010643 Curated_gene_sets:kegg_colorectal_cancer
Curated_gene_sets:kegg_renal...          SET      68    -0.049124   -0.0029404      0.11021       0.6721 Curated_gene_sets:kegg_renal_cell_carcinoma
Curated_gene_sets:kegg_pancr...          SET      67     -0.13772   -0.0081829      0.10924      0.89628 Curated_gene_sets:kegg_pancreatic_cancer
Curated_gene_sets:kegg_endom...          SET      51      0.31895     0.016541      0.12207    0.0044949 Curated_gene_sets:kegg_endometrial_cancer
Curated_gene_sets:kegg_glioma            SET      65    -0.077162    -0.004516      0.10954      0.75941 Curated_gene_sets:kegg_glioma
Curated_gene_sets:kegg_prost...          SET      86    -0.012902  -0.00086811     0.096936      0.55294 Curated_gene_sets:kegg_prostate_cancer
Curated_gene_sets:kegg_thyro...          SET      28      0.30623     0.011775      0.16564     0.032256 Curated_gene_sets:kegg_thyroid_cancer
Curated_gene_sets:kegg_basal...1         SET      55     0.070845     0.003815       0.1217      0.28025 Curated_gene_sets:kegg_basal_cell_carcinoma
Curated_gene_sets:kegg_melan...2         SET      69      0.11821    0.0071275      0.10866      0.13832 Curated_gene_sets:kegg_melanoma
Curated_gene_sets:kegg_bladd...          SET      40    -0.012097  -0.00055576      0.13463       0.5358 Curated_gene_sets:kegg_bladder_cancer
Curated_gene_sets:kegg_chron...          SET      72    -0.069768   -0.0042967      0.10699      0.74283 Curated_gene_sets:kegg_chronic_myeloid_leukemia
Curated_gene_sets:kegg_acute...          SET      55      0.18337    0.0098747      0.12036     0.063823 Curated_gene_sets:kegg_acute_myeloid_leukemia
Curated_gene_sets:kegg_small...          SET      81    0.0016477   0.00010761      0.10078      0.49348 Curated_gene_sets:kegg_small_cell_lung_cancer
Curated_gene_sets:kegg_non_s...          SET      53     0.026949    0.0014247      0.11826      0.40987 Curated_gene_sets:kegg_non_small_cell_lung_cancer
Curated_gene_sets:kegg_asthma            SET      14     0.035146   0.00095593      0.24007       0.4418 Curated_gene_sets:kegg_asthma
Curated_gene_sets:kegg_autoi...          SET      30     -0.16021    -0.006376      0.17321      0.82249 Curated_gene_sets:kegg_autoimmune_thyroid_disease
Curated_gene_sets:kegg_syste...          SET      94      0.10895    0.0076624      0.10019      0.13843 Curated_gene_sets:kegg_systemic_lupus_erythematosus
Curated_gene_sets:kegg_allog...          SET      15     -0.13418   -0.0037775      0.24196       0.7104 Curated_gene_sets:kegg_allograft_rejection
Curated_gene_sets:kegg_graft...          SET      18   -0.0025911    -7.99e-05      0.21722      0.50476 Curated_gene_sets:kegg_graft_versus_host_disease
Curated_gene_sets:kegg_prima...2         SET      29     0.039943     0.001563      0.17299       0.4087 Curated_gene_sets:kegg_primary_immunodeficiency
Curated_gene_sets:kegg_hyper...          SET      81   -0.0023478  -0.00015333      0.10083      0.50929 Curated_gene_sets:kegg_hypertrophic_cardiomyopathy_hcm
Curated_gene_sets:kegg_arrhy...          SET      71     0.067124    0.0041052      0.11452       0.2789 Curated_gene_sets:kegg_arrhythmogenic_right_ventricular_cardiomyopathy_arvc
Curated_gene_sets:kegg_dilat...          SET      86    -0.086106   -0.0057934     0.098626      0.80868 Curated_gene_sets:kegg_dilated_cardiomyopathy
Curated_gene_sets:kegg_viral...          SET      48     -0.14954   -0.0075243      0.13924      0.85857 Curated_gene_sets:kegg_viral_myocarditis
